"num","Authors","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI"
63,"Corrigan B.M.,  Kilcawley K.N.,  Sheehan J.J.","Validation of a reversed-phase high-performance liquid chromatographic method for the quantification of primary proteolysis during cheese maturation","2021","International Journal of Dairy Technology","74","4","","671","680","","10.1111/1471-0307.12765",,,,,,,,,
74,"Feeney E.L.,  Lamichhane P.,  Sheehan J.J.","The cheese matrix: Understanding the impact of cheese structure on aspects of cardiovascular health – A food science and a human nutrition perspective","2021","International Journal of Dairy Technology","74","4","","656","670","","10.1111/1471-0307.12755",,,,,,,,,
92,"Rathod N.B.,  Kahar S.P.,  Ranveer R.C.,  Annapure U.S.","Cold plasma an emerging nonthermal technology for milk and milk products: A review","2021","International Journal of Dairy Technology","74","4","","615","626","","10.1111/1471-0307.12771",,,,,,,,,
94,"Smykov I.T.,  Topnikova E.V.,  Danilova E.S.","Studies on fatty acid profile and microstructure of butter, dairy fat spreads and blended spreads produced in Russia","2021","International Journal of Dairy Technology","74","4","","629","640","","10.1111/1471-0307.12780",,,,,,,,,
44,"Jaksic S.,  Zivkov Balos M.,  Popov N.,  Torovic L.,  Krstovic S.","Optimisation, validation and comparison of methods for aflatoxin M1 determination in cheese","2021","International Journal of Dairy Technology","74","4","","681","688","","10.1111/1471-0307.12784",,,,,,,,,
89,"Paula Vilela T.,  Gomes A.M.,  Ferreira J.P.","Yogucheeses – Yoghurts fortified with melted cheese: Microstructural, textural and rheological characterisation","2021","International Journal of Dairy Technology","74","4","","689","699","","10.1111/1471-0307.12799",,,,,,,,,
56,"Arora B.,  Rizvi S.S.H.","Process optimisation and product characterisation of milk protein concentrate extrudates expanded by supercritical carbon dioxide","2021","International Journal of Dairy Technology","74","4","","641","654","","10.1111/1471-0307.12801",,,,,,,,,
62,"Chudy S.,  Makowska A.,  Krzywdzinska-Bartkowiak M.,  Piatek M.,  Henriques M.,  Borges A.R.,  Gomes D.,  Pereira C.D.","The effect of microparticulated whey protein on the characteristics of reduced-fat cheese and of the corresponding microwave vacuum-dried cheese puffs and finely ground puffs","2021","International Journal of Dairy Technology","74","4","","747","758","","10.1111/1471-0307.12796",,,,,,,,,
3,"Yeluri Jonnala B.R.,  McSweeney P.L.H.,  Cotter P.D.,  Sheehan J.J.","Recreating pink defect in cheese with different strains of Thermus bacteria","2021","International Journal of Dairy Technology","74","4","","700","708","","10.1111/1471-0307.12800",,,,,,,,,
76,"Goktas H.,  Dikmen H.,  Demirbas F.,  Sagdic O.,  Dertli E.","Characterisation of probiotic properties of yeast strains isolated from kefir samples","2021","International Journal of Dairy Technology","74","4","","715","722","","10.1111/1471-0307.12802",,,,,,,,,
