,0,1,2,3,4,5,6,7,8
0,,VI,V2,V3,V4,V5,V6,V7,V8
1,Depot A,,,,,,,,
2,Jan,12,9,,,,,,
3,,4%,49%,,,,,,
4,Feb,5,16,,,,,,
5,,4%,9%,,,,,,
6,Mar,11,29,36,16,16,,,
7,,23%,48%,44%,13%,21%,,,
8,Apr,28,21,16,43,8,34,37,
9,,51%,25%,23%,48%,17%,88%,45%,
10,May,34,32,34,8,44,15,42,10
11,,83%,37%,64%,17%,48%,22%,46%,84%
12,Depot D,,,,,,,,
13,Jan,187,175,,,,,,
14,,49%,67%,,,,,,
15,Feb,175,186,,,,,,
16,,52%,60%,,,,,,
17,Mar,194,190,182,186,187,,,
18,,67%,81%,74%,68%,94%,,,
19,Apr,191,175,190,212,203,220,188,
20,,97%,80%,75%,88%,88%,79%,80%,
21,May,205,209,182,191,197,218,203,184
22,,83%,87%,80%,97%,74%,92%,87%,84%
