,0,1,2,3,4
0,Sample,Day 1,Day 7,Day 14,Day 21
1,L*value,,,,
2,CS,58.51  0.01cA,55.59  0.04dE,61.42  0.04bD,63.11  0.06aD
3,RE,56.67  0.02dE,58.94  0.05cA,60.51 0.06bF,64.32  0.02aC
4,GSE,56.91  0.06dD,58.32  0.06cC,62.07  0.05bc,65.11  0.0gaB
5,TE,57.30  0.03dB,57.98  0.08cD,62.17  0.02bB,63.03  0.05aD
6,GTE,53.20  0.02dF,58.32  0.06cC,60.61  0.03bE,62.82  0.02aE
7,ME,57.09  0.01dc,58.72  0.05cB,62.38  0.05bA,68.30  0.07aA
8,a*value,,,,
9,CS,2.77  0.02dD,2.38  0.01cD,2.11  0.02bc,1.710.02aA
10,RE,2.66  0.01dC,1.96  0.02bA,1.99  0.01cD,1.88  0.01ac
11,GSE,2.57 0.03cB,2.16  0.02bc,1.94  0.01aE,-1.91  0.01aD
12,TE,2.94  0.01dF,2.15  0.02cC,-2.11  0.02bc,-1.82  0.01aB
13,GTE,2.47  0.02dA,2.16  0.02bc,2.22  0.01cA,-1.87 0 00aC
14,ME,2.82  0.01dE,2.06  0.01bB,2.14  0.01cB,-1.93  0.01aE
15,b* value,,,,
16,CS,8.37  0.01cA,7.270.01dE,8.820.01bC,9.54  0.02aC
17,RE,7.40  0.01dB,7.89  0.05cA,8.54 0.01bF,9.70 0.03aB
18,GSE,7.74  0.08cc,7.68  0.01dB,8.86  0.02bB,9.71  0.04aB
19,TE,7.41  0.00dB,7.810.01cB,8.96 0.01bA,9.23  0.04aE
20,GTE,7.02  0.01dc,7.68  0.01cD,8.60 0.01bE,9.29  0.01aD
21,ME,8.33 0.05cA,7.76  0.02dC,8.70  0.02bD,10.78  0.01aA
