,0,1,2,3,4,5,6,7,8
0,A+TG,,,,,A,,,
1,Scale,Consumers,Score,Average,Acceptance index,Consumers,Score,Average,Acceptance index
2,1,0,0,0.00,0.00,2,2,0.02,0.22
3,2,2,4,0.04,0.45,3,6,0.06,0.67
4,3,5,15,0.15,1.68,5,15,0.15,1.68
5,4,15,60,0.61,6.73,13,52,0.53,5.84
6,5,15,75,0.76,8.42,9,45,0.45,5.05
7,6,23,138,1.39,15.49,26,156,1.58,17.51
8,7,22,154,1.56,17.28,25,175,1.77,19.64
9,8,16,128,1.29,14.37,12,96,0.97,10.77
10,9,1,9,0.09,1.01,4,36,0.36,4.04
11,Total,99,583,5.89,65.43,99,583,5.89,65.43
12,+TG,,,,,V,,,
13,cale,Consumers,Score,Average,Acceptance index,Consumers,Score,Average,Acceptance ind
14,,0,0,0.00,0.00,1,1,0.01,0.11
15,,2,4,0.04,0.45,1,2,0.02,0.22
16,,1,3,0.03,0.34,6,18,0.18,2.02
17,,8,32,0.32,3.59,12,48,0.48,5.39
18,,12,60,0.61,6.73,22,110,1.11,12.35
19,,30,180,1.82,20.20,21,126,1.27,14.14
20,,26,182,1.84,20.43,20,140,1.41,15.71
21,,17,136,1.37,15.26,10,80,0.81,8.98
22,,3,27,0.27,3.03,6,54,0.55,6.06
23,Total,99,624,6.30,70.03,99,579,5.85,64.98
