,0,1,2,3,4,5,6,7,8
0,,VI,V2,V3,V4,V5,V6,V7,V8
1,Depot A,,,,,,,,
2,Jan,98% (47),5% (3),,,,,,
3,Feb,100% (24),95% (26),,,,,,
4,Mar,55% (7),90% (9),93% (10),99% (14),82% (10),,,
5,Apr,90% (6),91% (10),100% (8),98% (8),79% (7),59% (2),90% (9),
6,May,93%(4),99% (9),100% (6),92%(7),99% (8),95%(7),98% (7),28%(2)
7,Depot B,,,,,,,,
8,Jan,98% (47),5%(3),,,,,,
9,Feb,95% (26),100% (24),,,,,,
10,Mar,36% (4),95% (10),99%(11),99% (14),90% (11),,,
11,Apr,90% (6),99% (6),98% (8),100% (8),38% (3),91% (9),91% (10),
12,May,99% (7),96% (8),89% (6),97% (9),98% (6),54% (4),77% (3),94% (7)
13,Depot C,,,,,,,,
14,Jan,93% (45),10%(5),,,,,,
15,Feb,95% (25),100%(25,,,,,,
16,Mar,95% (12),32%(4),99% (12),95% (9),99%(13),,,
17,Apr,98% (8),98% (8),100% (10),100% (7),96% (7),64% (6),51% (4),
18,May,98% (7),53%(4),94% (7),96% (6),96% (8),99% (9),97% (4),71%(5
19,Depot D,,,,,,,,
20,Jan,75% (35),28% (15),,,,,,
21,Feb,97% (27),98% (23),,,,,,
22,Mar,96% (13),95% (9),95% (12),99% (12),35% (4),,,
23,Apr,37% (3),91%(8),91% (9),99% (7),100% (6),98% (8),90% (9),
24,May,99% (6),85%(7),95% (8),43% (3),99% (7),89% (5),100%7,94% (7)
