,0,1,2,3,4,5,6
0,,,Cow ghee,,,Buffalo ghee,
1,,,,Clarification temperature(C),Clarification temperature(C),,
2,Triglycerides with carbon numbers,110,130,150,110,130,150
3,C24,0.05  0.02a,0.050.02,0.05  0.01a,0.070.03,0.070.02a,0.07 0.02a
4,C26,0.26  0.03a,0.26 0.03a,0.270.03,0.47 0.05a,0.50  0.04a,0.460.06a
5,C28,0.55  0.05a,0.57  0.03a,0.57  0.03a,0.77  0.08a,0.78  0.09a,0.790.08a
6,C30,0.950.07,0.94  0.06a,0.95  0.06a,1.120.19,1.110.22,1.12  0.20a
7,C32,1.85  0.14a,1.88  0.12a,1.88  0.13a,2.39  0.39a,2.41  0.39a,2.37  0.43a
8,C34,4.48  0.16a,4.50 0.14a,4.50  0.15a,6.53  0.83a,6.58  0.86a,6.53  0.89a
9,C36,9.26  0.04a,9.30  0.09a,9.31  0.10a,13.01  0.94a,13.12  1.09a,13.09  1.04a
10,C38,12.58  0.13a,12.64  0.22a,12.64  0.21a,15.48 0.20a,15.55  0.34a,15.59  0.23a
11,C40,10.60  0.21a,10.66  0.23a,10.66  0.23a,10.490.20,10.490.17a,10.54  0.16a
12,C42,6.11 0.31a,6.160.34a,6.16  0.34a,5.060.48,5.040.40,5.050.48
13,C44,5.31  0.31a,5.35  0.36a,5.350.35a,4.42  0.59a,4.41  0.49a,4.39  0.57a
14,C46,6.29  0.22a,6.29  0.28a,6.29  0.27a,5.68  0.54a,5.70  0.41a,5.64  0.51a
15,C48,8.61  0.17a,8.57 0.17a,8.58  0.17a,8.32  0.17a,8.35  0.06a,8.26  0.14a
16,C50,12.22  0.40a,12.15  0.33a,12.15  0.34a,10.71  0.76a,10.69  0.80a,10.630.78a
17,C52,12.94  0.60a,12.85  0.57a,12.84  0.56a,10.02  1.74a,9.91  1.75a,9.96  1.82a
18,C54,7.73  0.40a,7.61  0.31a,7.60  0.32a,5.24  1.72a,5.08  1.68a,5.28  1.86a
