,0,1,2,3,4
0,,,Degree of hydrolysis (%,Degree of hydrolysis (%,
1,pH,of proteins],FLA WPH,ALCWPH,CSH
2,7,1,6.52g  0.10,20.99e0.17,0.220.31
3,,2,6.24ef  0.06,19.420.87,
4,,4,6.920.10,17.42bc0.23,
5,,6,6.720.01,18.060.63,1.050.05
6,,8,6.050.05,16.900.16,
7,,10,6.22ef  0.01,16.88b0.19,1.100.13
8,,12,5.89de  0.32,14.480.42,
9,8,1,7.35h 0.00,26.07  0.09,0.90ab0.29
10,,2,7.75hi 0.04,24.85h0.37,
11,,4,8.67k  0.03,22.20f  0.69,
12,,6,8.50  0.02,21.65ef  0.03,0.93ab0.08
13,,8,7.99i  0.20,20.880.63,
14,,10,8.29ik 0.11,20.680.42,0.94ab0.02
15,,12,7.820.51,19.150.70,
16,9,1,4.550.14,27.150.36,1.910.75
17,,2,4.510.01,26.660.57,
18,,4,5.630.07,26.730.85,
19,,6,5.060.30,23.130.60,1.46bc0.30
20,,8,4.72bc0.11,23.150.33,
21,,10,4.68bc0.08,23.130.44,1.47bc0.30
22,,12,3.450.47,22.55fg  0.25,
23,i pH,i pH,,*,*
24,ii So,ii So,,,NS
25,,Interactioni-ii,,,NS
