,0,1,2,3,4,5,6,7,8,9,10,11
0,,Al.,Ca,Cu,Fe,Mg,Mn,Se,Zn,K,Na,P
1,CM,6.59,1176.41,0.07,0.36,77.04,0.05,0.3,4.56,1361.45,645.1,656.92
2,UF,5.53,675.43,1.52,0.77,74.24,0.11,0.48,9.15,749.57,302.24,457.19
3,DF1,5.24,440.35,1.46,0.73,61.21,0.11,0.43,7.43,458.78,78.87,329.07
4,DF2,4.62,391.99,2.18,0.75,23.41,0.06,0.23,5.57,268.4,225.49,272.42
5,DF3,8.75,300.38,2.09,0.87,19.42,0.08,0.16,5.5,378.03,2354.3,244.78
6,DF4,5.53,390.48,2.61,0.99,20.92,0.07,0.23,7.63,379.71,2382.44,288.64
7,DF5,6.4,257.42,1.57,0.68,16.18,0.06,0.2,4.03,323.42,1313,208.45
8,DF6,6.16,380.82,2.25,0.78,20.94,0.07,0.26,6.05,342.23,1343,293.01
9,DF7,5.43,308.79,1.56,0.62,17.77,0.07,0.2,4.59,270.08,229.3,238.4
10,DF8,5.86,324.72,2.21,0.93,19.55,0.07,0.12,6.64,325.38,2016.99,225.78
11,DF9,6.7,300.68,1.95,0.81,17.62,17.62,0.21,5.78,330.19,1326.56,240.43
12,DF10,6.25,343.05,2.33,1.16,20.2,0.07,0.22,6.4,335.06,1311.38,239.11
