,0,1,2,3,4,5,6,7,8,9,10,11
0,,Origins,,,,,,,,,,
1,Isolates,India,France,New Zealand,Germany,Belgium,Netherlands,Ireland,Ukraine,Argentina,Denmark,Total
2,B.subtilis,2,1,,,-,-,1,,-,,4
3,B.pumilis,-,-,1,,-,-,,-,-,-,
4,B. amyloliquefaciens,2,3,7,2,4,-,5,-,=,-,23
5,B.licheniformis,3,2,-,1,2,3,3,,-,1,16
6,B.subtilis,=,-,2,2,-,8,2,1,,1,16
7,B.cereus,3,12,9,,2,3,15,1,4,2,51
8,G. toebii,1,-,,-,-,2,-,-,,-,3
9,B.coagulans,1,,-,-,-,-,,-,,-,
10,B.pumilus/safensis,-,,1,,-,,-,-,,-,3
11,Bacillus sp.,1,-,4,,,4,1,1,,1,14
12,B.badius,1,-,-,,-,-,,-,,-,1
13,B. subtilis/mojavensis,-,1,,,-,-,,,1,-,3
14,B.pumilis,1,1,,-,,-,1,-,,-,3
15,Total isolates per origin,15,21,24,6,9,20,28,5,8,3,139
