,0,1,2,3,4,5,6,7,8,9,10
0,,,,CN:,,,Relative content (%,Relative content (%,Relative content (%,,
1,tR,M+NH4,Formula,DB,TAGs identified,TAGs identified,RM,,PM,HM,FM
2,11.937,754.75,C46Hg2NO6+,43:0,,"CaLaHen,CaMN,CaPeS,CaPMa,LaMMa,LaPeP",0.260.02,0.160.01,0.150.02,0.250.02,0.160.01
3,,,,,"MPeM,MaSCy","MPeM,MaSCy",,,,,
4,11.954,818.76,C5HNO+,48:3,"LaLO,LaPD,MyPaO,MyLP,PaLM,PMLn","LaLO,LaPD,MyPaO,MyLP,PaLM,PMLn",0.590.010.570.03,0.550.02,0.590.010.570.03,0.580.04,0.550.02
5,12.108,780.75,C4H94NO6+,45:1,,"CaMyHenCaPePl,CaPaN,CaPNo,CaMaO,LaMNo",0.390.10,0.370.04,0.380.01,0.380.03,0.370.04
6,,,,,,"LaMyN,LaPeO,LaPaMa,MPePa,MPPen",,,,,
7,,,,,"MMaMy,MyPPe","MMaMy,MyPPe",,,,,
8,12.432,844.77,C53HggNO+,50:4,,"MyPD,MyLnSMyLO,MPaDMLnO,MLLPaPLn",0.310.010.300.05,0.290.04,0.310.010.300.05,0.300.07,0.290.04
9,,,,,PaLPa,PaLPa,,,,,
10,12.705,806.76,C5oH96NO+,47:2,"LaPenPl,LaPaNo,LaLMa,MyMNo,MyPeO","LaPenPl,LaPaNo,LaLMa,MyMNo,MyPeO",,0.210.02,,,0.210.02
11,,,,,,"MyPenS.MyPaMa.MPeL,MPenO,PePaPa",,,,,
12,,,,,"PenPaP,ONoCa","PenPaP,ONoCa",,,,,
13,13.114,768.75,C47H94NO6+,44:0,"LaMS,LaPeMa,LaPP,MPePe,MPM,PSCa","LaMS,LaPeMa,LaPP,MPePe,MPM,PSCa",2.480.112.570.262.500.11,2.520.20,,2.480.112.570.262.500.11,2.520.20
14,13.353,794.76,C4gHoNO6+,46:1,,"LaMyAr,LaMPl,LaPeNo,LaPaS,LaPO,MyMS",,3.100.46,,2.480.133.090.453.050.20,3.100.46
15,,,,,,"MyPeMaMyPP,MPaP,MOM,PePaPe,PePPen",,,,,
16,13.575,820.76,C5HgNO+,48:2,"LaPaPl,LaOO,MPaO","LaPaPl,LaOO,MPaO",,2.250.27,,,2.250.27
17,13.898,846.77,Cs3H1ooNO+,50:3,"MyPaPl,MyOOMyLS,PaOPa,PaLP,OLM","MyPaPl,MyOOMyLS,PaOPa,PaLP,OLM",,1.290.041.260.021.270.101.240.22,,,
18,14.086,782.75,C4gH96NO6+,45:0,,"LaMN.LaPeS,LaPMa,MPeP,MMaM,MaSCa",,0.330.01,,,0.330.01
19,14.205,808.76,C5oHggNO+,47:1,,"LaPePl,LaPaN,LaPNo,LaMaO,MPeOMPaMa,",,0.110.03,,,0.110.03
20,,,,,PePPaPeMaPenPMaMy,PePPaPeMaPenPMaMy,,,,,
