,0,1,2,3,4
0,,Reference valuesa,Reference valuesa,Yaroslavl breed,Yaroslavl breed
1,FA,"Me,%",SED,"Me,%",SD
2,C4:0,2.11,0.04,3.00,0.24
3,C6:0,1.69,0.03,2.06,0.14
4,C8:0,1.18,0.02,1.24,0.09
5,C10:0,2.67,0.06,2.83,0.21
6,C10:1,0.22,0.01,0.22,0.03
7,C12:0,3.22,0.08,3.23,0.30
8,C14:0,11.42,0.18,10.78,0.79
9,C14:1,1.15,0.04,1.45,0.08
10,C16:0,31.71,0.53,30.24,3.20
11,C16:1,1.15,0.05,2.03,0.10
12,C18:0,9.59,0.30,11.81,1.68
13,C18:1,20.86,0.36,22.74,2.29
14,C18:2,3.14,0.11,3.23,0.31
15,C18:3,0.90,0.03,0.46,0.09
16,C20:0,0.09,0.01,0.22,0.04
17,C22:0,0.03,0.01,0.10,0.03
18,Others,8.86,,4.25,
