,0,1,2,3,4,5
0,,Protein,Fat,Lactose,Ash,Free fat
1,,(g/100 g),,,,
2,10A,10.1  0.00d,19.8  0.20a,66.3  0.16a,2.36  0.01d,1.08  0.08ab
3,10B,10.1d,19.9a,66.9a,2.42d,1.25  0.05a
4,10C,10.1  0.00d,19.8  0.20 a,66.2  0.69a,2.42  0.01d,1.00  0.07abc
5,14A,13.8c,20.2a,61.1ab,3.14c,1.05  0.05abec
6,14B,14.0 0.04bc,20.2  0.10 a,61.3  0.20ab,3.180.01c,0.880.13bc
7,14C,14.1b,19.0a,62.1ab,3.29c,1.00  0.00abc
8,18A,17.8  0.04a,20.1  0.05a,56.4  0.12b,3.99  0.02b,0.80  0.07c
9,18B,17.8a,20.3a,56.2b,4.10ab,0.95  0.05abc
10,18C,18.0  0.03a,19.2  1.50 a,56.9  1.56b,4.20  0.02a,0.78  0.13c
