,0,1,2,3,4,5
0,,Villus length,Thickness of mucosal,Villus length/mucosal layer,Thickness of muscle,Inflammation segment
1,Group,(um),layer(um),ratio (%),layer (um),scorel
2,SHAM,50.22  0.50ab,32.77  1.77d,1.55  0.08a,13.87  0.31a,0.00  0.00e
3,OVX,47.58  1.73ab,42.96  1.41c,1.11  0.04c,10.38  0.53b,0.66  0.19d
4,OVX-LPS+Drug,48.34  1.25ab,43.72  1.16c,1.11  0.05c,9.76  0.51b,0.16  0.15c
5,OVX-LPS,46.58  1.94b,58.33  2.15a,0.80  0.04d,6.87  0.24c,3.83  0.15a
6,OVX-LPS+MF27,50.43  2.19ab,47.01  0.54bc,1.07  0.04c,14.75  0.48a,1.83  0.15b
7,OVX-LPS+393,53.20  2.42a,49.67  2.52b,1.09  0.09c,14.41  0.39a,1.33  0.19c
8,OVX-,51.26  0.52ab,37.66  0.89d,1.37  0.04b,14.12  0.37a,1.66  0.19c
9,LPS+MF27+393,,,,,
