,0,1,2,3,4,5,6
0,,Peak,Pasting,Holding strength,Breakdown strength,Final,Setback
1,Sample,viscosity (cP),temperature (C),viscosity(cP),viscosity (cP,viscosity (cP),viscosity (cP)
2,M1,79542a,79.5  2.4e,33321g,461  11a,219788gh,1864  112h
3,M2,104583bc,73.9  3.4c,213 18d,831  47e,1486  92d,1273107d
4,M3,114475c,73.25  3.8c,250 11e,893 34fg,1879  102f,1629  124f
5,M4,136082d,75.9  2.7d,1144  53h,103131,2172118gh,103198b
6,M5,93167ab,79.2  1.9e,30512f,57127b,2062  109g,1757128g
7,M6,1980  84d,73.50.8c,163  9b,117634,120584b,1037114b
8,S1,111243c,71.8  1.6b,13317a,979  42h,988 88a,855103a
9,S2,91274bc,70.5  2.5a,15316ab,759  44d,127979c,1126112c
10,S3,849  49ab,71.2  2.7b,163  12b,686 31c,120677b,1043118b
11,S4,106291bc,71.2  3.4b,20111c,861 33f,1631 63e,1430137e
