,0,1,2,3,4
0,,,,Sensory analysis,
1,Treatment,Flavour,Nonoral texture,Mouthfeel (oral texture),Overall acceptance
2,YL-B,16.20.15c,3.8  0.22a,12.95 0.15b,6  0.14e
3,YB-B,12.60.17d,"3.7 0.21b,a",10.850.17,8  0.26a
4,YLB-B,9  0.26f,3.8  0.13a,10.5  0.14f,7.2 0.33b
5,YLp-B,10.80.13e,3.6  0.26b,10.150.10e,6.6  0.21c
6,YBp-B,180.00,3.8  0.22a,13.650.14a,7.6 0.14b
7,Y(LB)p-B,6.60.10g,3.9 0.10a,10.15 0.10e,4.8  0.268
8,YL-A,16.8  0.20b,3.10.17c,10.5 0.00f,5.6  0.13f
9,YB-A,12.6  0.10d,2.9  0.10d,10.15  0.10e,4  0.00g
10,YLB-A,16.8  0.13b,2.9  0.17d,12.250.26c,6.2  0.10d
11,YLp-A,11.4  0.17e,2.70.15e,9.8 0.138,6.8  0.26c
12,YBp-A,16.8 0.13b,3.10.10c,10.85 0.10,5.60.13f
13,Y(LB)p-A,16.8  0.20b,2.9  0.17d,9.8  0.248,6.2  0.10d
