,0,1,2,3,4,5,6,7,8,9
0,,Treatment,Treatment,,,,,,,
1,Item,c,,OE,GPE,LO,OEL,GPL,SEM,P-value
2,Fat %,,5.47,5.12,4.95,5.87,5.50,5.81,0.419,0.533
3,Protein %,,7.34a,6.41b,6.41b,6.59b,6.67b,6.44b,0.196,0.022
4,Fat/protein,,0.74,0.79,0.77,0.89,0.82,0.9,0.084,0.711
5,Lactose %,,4.94,5.14,5.04,5.13,4.99,5.13,0.104,0.644
6,Total solids %,18.14,18.14,16.67,16.35,17.63,17.53,17.56,0.603,0.302
7,SNF %,12,12,11.30,11.20,11.47,11.42,11.33,0.212,0.167
8,MUN (mg/100 g),21.46ab,21.46ab,25.68a,20.69ab,17.78b,18.96b,16.56b,2.04,0.040
9,Freezing point (C),-0.461,-0.461,0.456,0.446,0.463,0.455,0.461,0.006,0.490
10,Somatic cells (k cell/mL),127.2,127.2,78,77.5,66,69.5,66.17,16.16,0.114
