,0,1,2,3,4
0,Sample,,,,Overall
1,code,Flavour,Texture,Colour,acceptance
2,F1,2.7  0.7def,2.7  0d,3.2  0.7de,3.2  0.3ef
3,F2,4.5  1.1a,2.7  0.3d,2.2  0.4g,3.0  0.5f
4,F3,4.5  0.5a,2.7  0.2d,2.2  0.4g,3.0  0.2f
5,F4,3.0  0.5d,3.0  0.4d,2.6  0.5fg,3.2  0.3ef
6,F5,4.11.0b,2.7  0.6d,3.1  0.6de,3.5  0.1de
7,F6,3.5  1.3c,2.7  0.7d,4.2  0.4ab,4.3  0.6b
8,F7,2.6  0.4ef,3.0  0.5d,4.5  0.5ab,5.0  0.0a
9,F8,3.6  0.7c,3.0  0.4d,2.7  0.7fg,3.3  0.3ef
10,F9,3.5  1.3c,4.0  0.7bc,2.6  0.5fg,3.4  0.3e
11,F10,2.6  0.7ef,4.8  0.6a,3.0  0.2ef,3.5  0.4de
12,F11,4.2  0.6ab,2.7  0.5d,2.5  0.5fg,3.0  0.7f
13,F12,3.50.6c,2.7  0.4d,3.3  0.7de,3.0  0.4f
14,F13,2.9  0.4de,3.8  0.6c,4.0  0.0bc,3.4  0.8e
15,F14,3.4  1.2c,4.0 1.0bc,4.6  0.5a,5.0  0.0a
16,F15,3.4  0.7c,3.8  1.1c,4.2  0.7ab,5.0  0.0a
17,F16,2.4  0.0f,4.2  0.7b,4.7  0.4a,5.0  0.0a
18,F17,2.6  0.4ef,4.8  0.9a,3.5  0.5cde,3.8  0.6cd
19,F18,2.4  0.3f,5.0  0.0a,3.6  0.7cd,4.0  1.3bc
20,F19,2.4  0.0f,4.8  0.8a,3.3  0.5de,4.3  0.9b
