,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Moisture,Protein,Fat,MNFS,FDM,Calcium,Calcium,,,Salt,S/M,Cholestero
1,,,,,,,(mg/,(mg/g,,,,,
2,Cheese type,g/100 g,(g/100 g),g/100 g),(%),(%),100 g),protein),,pH,(g/100 g),(%),mg/100g
3,Extra hard,,,,,,,,,,,,
4,Parmesan,30.6,34.9,29,43,41.79,1200,34.38,5.2-5.3,5.2-5.3,1.89,6.18,88
5,Hard,,,,,,,,,,,,
6,Cheddar,34.5-37.5,24.7-25.1,32.8-33.9,51-56,51.5-52.5,780-,28.24,5.2-5.3,5.2-5.3,1.6-2.2,4.5-5.8,100
7,,,,,,,830,,,,,,
8,Emmental,35.7,28.7,29.7,51,46.19,970,33.80,5.5,,0.70,1.96,90
9,Gruyere,35,27.2,33.3,52,51.23,950,34.93,5.5,,1.48,4.23,100
10,Semihard,,,,,,,,,,,,
11,Mozzarella,49.8,25.1,21,63,41.83,590,23.51,5.1-5.3,5.1-5.3,1.40,2.81,65
12,Gouda,40.1,24,31,58,51.75,740,30.83,5.2-5.4,5.2-5.4,2.30,5.74,100
13,Edam,43.8,26,25.4,59,45.20,770,29.62,5.2-5.4,5.2-5.4,1.45,3.31,80
14,Semisoft,,,,,,,,,,,,
15,Danish,41.3,19.7,32.9,62,56.05,530,26.90,5.3,,4.10,9.93,90
16,blue,,,,,,,,,,,,
17,Stilton,45.3,20.1,29.6,64,54.11,500,24.88,6.6,,3.30,7.28,75
18,Roquefort,38.6,22.7,35.5,60,57.82,320,14.10,6.06.50,6.06.50,2.202.70,5.706.99,105
19,Soft,,,,,,,,,,,,
20,Cottage,79.1,13.8,3.9,82,18.66,73,5.29,4.8,,0.500.70,0.630.88,13
21,Brie,48.6,19.3,26.9,66,52.33,540,27.98,7.5,,1.40-2.10,2.884.32,100
22,Fromage,77.9,6.8,7.1,84,32.13,89,13.09,4.54.8,4.54.8,0.15,0.19,25
23,frais,,,,,,,,,,,,
