,0,1,2,3,4,5,6,7,8,9,10,11,12
0,(a),,,,,,,,,,,,
1,,,Unsupported drying,Unsupported drying,,,,,,,,,
2,Band assignment,Fresh cells,Uncoated 55,,Uncoated 75,,Sorbitol 55C,Sorbitol 75 C,Sorbitol 75 C,Xylitol 55C,Xylitol 55C,Xylitol 75C,Xylitol 75C
3,B-Sheet,1695.1,1697.2,,,1695.8,1695.8,1696.3,1696.3,1695.1,,1697.0,
4,,1643.6,1646.6,1635.7,1635.7,1643.8,1643.8,1643.4,1643.4,1636.8,,1642.5,
5,,,,,,,,,,1628.3,,,
6,a-Helix,1658.8,1659.4,1660.1,1660.1,1659.3,1659.3,1658.5,1658.5,1658.8,,1658.5,
7,3-Turn,1680.7,1681.8,,,1682.3,1682.3,,,1682.4,,,
8,,,,,,,,,,1670.9,,,
9,Random,,,,,,,,,1650.1,,,
10,b),,,,,,,,,,,,
11,,,Drying with carrier agents,Drying with carrier agents,,,,,,,,,
12,,,MCC,MPC-80,,Starch,,SMP,,SMP(sorb),SMP(sorb),SMP (xyl),
13,and assignment,Fresh cells,75,55,75,55,75,55,75,55,75,55,75
14,b),,,,,,,,,,,,
15,B-Sheet,1643.6,1643.5,1630.1,1630.8,1627.7,1644.6,1628.4,1632.0,1627.6,1627.9,1628.1,1631.
16,,1695.1,1696.0,,,1636.0,1694.9,1694.6,1697.6,1635.3,1695.1,1693.7,1697.
17,,,1693.0,,,1693.3,,,,1692.8,,,
18,a-Helix,1658.8,1658.8,1658.7,1658.6,1657.8,1657.7,1657.1,1657.8,1657.6,1658.0,1657.8,1658.
19,3-Turn,1680.7,1681.6,1680.7,1679.9,1681.2,1680.1,1681.3,1679.4,1680.9,1681.1,1680.8,1680.
20,,,1669.9,,,,,,,,,,
21,Random,,1649.1,1648.8,1646.0,1648.7,,1646.7,1646.1,1648.5,,1647.0,1646.
