,0,1,2,3,4,5,6
0,,,Colour and,Body and tex-,,,Overall accept-
1,Type of fortificant used,Samples,appearance,ture,Spreadability,Flavour,ability
2,,Control,8.17  0.36a,8.17  0.43a,7.510.31,8.420.45a,8.060.19a
3,Flaxseed oil,2.9%,7.88  0.28b,7.98  0.77ab,8.00  0.24b,7.88  0.31b,7.94  0.29b
4,,OABA,,,,,
5,,4.1%,7.83 0.45b,7.770.50bc,8.08 0.23b,7.80  0.36b,7.87 0.24b
6,,OABA,,,,,
7,,5.1%,7.74 0.42,7.730.46bc,8.40  0.42a,7.41 0.41cd,7.820.20b
8,,OABA,,,,,
9,,2.9%,7.76 0.50bc,7.72 0.43bc,7.54  0.30cd,7.79 0.23b,7.700.18c
10,,OAAA,,,,,
11,,4.1%,7.75  0.24bc,7.64  0.35bc,7.700.30c,7.56  0.26c,7.66 0.10c
12,,OAAA,,,,,
13,,5.1%,7.59  0.36bc,7.70 0.39c,7.95  0.23b,7.35  0.30d,7.65  0.19c
14,,OAAA,,,,,
15,Flaxseed oil-whey protein concentrate,4.8%,8.21 0.38a,7.96  0.38b,7.96 0.34abc,7.90  0.37b,8.01  0.28ab
16,emulsion,EABA,,,,,
17,,6.8%,8.100.28a,7.94  0.27b,8.11 0.39ab,7.74  0.32bc,7.97 0.19ab
18,,EABA,,,,,
19,,8.6%,7.82  0.43b,7.88  0.31b,8.10  0.66a,7.34  0.41d,7.78  0.26cd
20,,EABA,,,,,
21,,4.8%,7.91  0.41b,7.90  0.30b,7.750.40,7.91  0.41b,7.90  0.20bc
22,,EAAA,,,,,
23,,6.8%,7.89  0.25b,7.69  0.36c,7.860.28bc,7.630.50,7.77  0.19d
24,,EAAA,,,,,
25,,8.6%,7.700.35b,7.500.38c7.900.29abc,7.500.38c7.900.29abc,7.31  0.29d,7.56  0.23e
26,,EAAA,,,,,
