,0,1,2,3,4
0,,,,"Carbonyl compound concentration in yoghurt samples, ug/kg",
1,,,Batch L (n=5,Batch M(n=5,Batch H(n=5
2,Carbonyl compounds,"Ret. time, Min",meanSD,meanSD,meanSD
3,Acetone,1.423,1750  52.5a,170051,161948.6a
4,Diacetyl,1.698,241372.4a,245273.6a,1944 58.3b
5,"2,3-Pentanedione",2.457,761 30.4a,754 30.2a,736  29.4a
6,Acetoin,2.598,2489  74.7a,243373a,127563.8b
7,Butanoic acid,4.021,8214246.4,7917237.5a,14243 427.3b
8,Hexanal,4.142,423  21.2a,398  19.9a,344  17.2b
9,2-Heptanone,6.568,263  13.2a,278  13.9a,427 21.4b
10,Heptanal,6.893,301.9a,27  1.6a,Ob
11,Hexanoic acid,9.964,10300309a,9905  297.2a,16718401.5b
12,2-Nonanone,13.417,22  1.8a,25 2.1a,211.6a
