,0,1,2,3,4,5,6,7,8
0,Probiotic yoghurt,L*,,a*,b*,,C*,h*,E*
1,YC,80.75 0.33a,3.32 0.22e,3.32 0.22e,7.74 0.28b,8.42  0.13f,8.42  0.13f,113.20  0.44a,
2,YB,61.59 0.17c,11.120.45c,11.120.45c,2.950.33c,11.530.27c,11.530.27c,14.89  0.18d,24.48  0.18c
3,YP,79.59  0.23b,2.76  0.19d,2.76  0.19d,8.34  0.24a,8.79  0.15e,8.79  0.15e,108.26  0.33c,1.52  0.03d
4,YBP,60.74  0.09d,11.80  0.32b,11.80  0.32b,3.08  0.31c,12.20  0.26b,12.20  0.26b,14.54  0.15d,25.530.14b
5,YG,79.82  0.45b,3.290.12e,3.290.12e,8.370.32a,8.99  0.19d,8.99  0.19d,111.46  0.36b,1.47 0.09d
6,YBG,60.39  0.19d,12.020.32a,12.020.32a,2.92  0.12c,12.41  0.14a,12.41  0.14a,13.65  0.21e,25.99  0.32a
7,Storage time (day),,,,,,,,
8,1,70.98  1.05a,,4.39  0.42a,5.040.12b,10.420.11b,10.420.11b,60.160.45,15.430.18
9,7,70.78  1.00a,,4.26  0.29ab,5.300.20b,10.18  0.21d,10.18  0.21d,61.90  0.19b,15.770.21b
10,14,70.65 1.10a,,4.17  0.54b,5.90  0.23a,10.30 0.14c,10.30 0.14c,64.11  0.47a,15.44  0.28c
11,21,69.51  1.27b,,4.23  0.72ab,6.02  0.70a,10.67  0.24a,10.67  0.24a,64.51  0.51a,16.540.25a
12,ANOVA,,,,,,,,
13,Sample (S),**,**,,**,**,,,**
14,Storage time (D,**,**,,**,**,,,**
15,SXD,**,**,,**,**,,**,**
