,0,1,2,3,4,5,6,7
0,,Probiotic,Probiotic,,,Yoghurt,,
1,Organic acid,c,,B,,CBS,CBT,Significance
2,Lactic,21 043.00a,21 043.00a,19 966.00b,19 966.00b,19 335.00b,21 358.00a,**
3,Acetic,,787.11a,,628.14b,231.00c,665.90b,**
4,Formic,,172.01c,,265.54b,245.00b,559.35a,**
5,Malic,,863.28c,,1037.64b,1044.04b,1364.76a,**
6,Citric,,606.77a,,654.41a,282.46b,415.4gab,*
7,Butyric,,4109.70d,,7697.27c,10 213.60b,11 549.45a,**
8,Ascorbic,,188.66b,,201.07a,207.00a,190.21b,**
9,Total organic acid,27 770.82b,27 770.82b,30 449.82ab,30 449.82ab,31 558.10ab,36 102.97a,**
