,0,1,2,3,4
0,Goat breed,Early lactation,Mid lactation,Late lactation,Mean
1,HIS (umol/mL) Mean SD,,,,
2,TS,5.585 3.088,2.637  1.445,4.4223.105,4.2152.819
3,MG,5.2953.752,4.8672.418,2.6171.691,4.2602.826
4,HG,5.1974.791,3.6493.114,4.0593.691,4.302  3.699
5,Mean,5.3593.651,3.7182.435,3.6992.937,
6,TYR (umol/mL) Mean  SD,,,,
7,TS,6.3914.131,2.4271.456,3.711  2.669,4.1773.183
8,MG,5.7533.721,4.9232.742,2.5201.718,4.3992.993
9,HG,4.865  4.512,3.1582.533,3.6943.578,3.9063.443
10,Mean,5.6703.882,3.5032.401,3.3082.657,
11,ASP+ASNumol/mLMeanSD,ASP+ASNumol/mLMeanSD,,,
12,TS,11.218 1.807Ba,5.6183.306Ba,25.558 7.082Aa,14.13110.677
13,MG,15.076  7.338Aa,12.266  7.559Aa,15.473  6.445Aa,14.272  6.764
14,HG,22.438  2.339Aa,9.416  4.690Ba,25.604  7.100Aa,19.1538.650
15,Mean,16.2446.410,9.1005.803,22.2128.334,
16,GLU +GLN(umol/mL) Mean SD,GLU +GLN(umol/mL) Mean SD,,,
17,TS,31.758  5.992Aa,10.014  6.965Ba,39.218  6.943Aa,26.99714.270
18,MG,24.294  3.889Aa,28.551  9.510Aa,23.875  11.350Aa,25.5738.471
19,HG,40.082  13.555Aa,25.456  3.988Aa,42.75717.807Aa,36.09814.477
20,Mean,32.04410.565,21.34110.709,35.2841.427,
