,0,1,2
0,,,Maximum
1,Additives and coadjuvants,Function,concentration
2,"Sorbic acid and its sodium,",Preservative,600 mg/kg
3,potassium or calcium salts,,in sorbic acid)
4,,,1000 mg/kg
5,,,in sorbic acid
6,,,for exclusive
7,,,industrial use
8,Natamycin (in free surface),Preservative,1 mg/dm2
9,Calcium lactate,Texturiser,G.M.P.
10,"Vanilla flavouring, vanillin",Flavouring,G.M.P.
11,and/or ethyl vanillin,,
12,isolated or in mixtures,,
13,Sodium citrate,Stabiliser,G.M.P.
14,Sorbitol,Umectant,5 g/100 g
15,"Caramel (INS 150 a,b,c,d)",Corant,G.M.P.
16,Alginic acid,Thickener/stabiliser,5000 mg/kg*
17,Ammonium alginate,Thickener/stabiliser,5000 mg/kg*
18,Calcium alginate,Thickener/stabiliser,5000 mg/kg
19,Carrageenan including,Thickener/stabiliser,5000 mg/kg*)
20,furcelarana and sodium,,
21,and potassium salts,,
22,Pectin and pectin-starch,Thickener/stabiliser5000 mg/kg(*),Thickener/stabiliser5000 mg/kg(*)
23,Potassium alginate,Thickener/stabiliser,5000 mg/kg*
24,Propylene glycol alginate,Thickener/stabiliser5000 mg/kg(*),Thickener/stabiliser5000 mg/kg(*)
25,Sodium alginate,Thickener/stabiliser,5000mg/kg*
26,Agar,Thickener/stabiliser5000 mg/kg(*),Thickener/stabiliser5000 mg/kg(*)
27,Carboxymethyl cellulose,Thickener/stabiliser5000 mg/kg(*),Thickener/stabiliser5000 mg/kg(*)
28,Sodium carboxymethyl,Thickener/stabiliser,5000 mg/kg(*)
29,cellulose,,
30,Methyl cellulose,Thickener/stabiliser5000 mg/kg(*),Thickener/stabiliser5000 mg/kg(*)
31,Methyl ethyl cellulose,Thickener/stabiliser,5000 mg/kg*
32,Hydroxypropyl cellulose,Thickener/stabiliser,5000 mg/kg*
33,Arabica gum,Thickener/stabiliser,5000 mg/kg*
34,Xanthan gum,Thickener/stabiliser,5000 mg/kg*
35,Garrofin gum,Thickener/stabiliser,5000 mg/kg*
36,Karaya gum,Thickener/stabiliser,5000 mg/kg*
37,Gellan gum,Thickener/stabiliser,5000 mg/kg*)
38,Tragacanth gum,Thickener/stabiliser,5000 mg/kg*
39,Konjak gum,Thickener/stabiliser,5000 mg/kg(*)
40,Gelatin,Thickener/stabiliser,5000 mg/kg(*
41,Microcrystalline cellulose,Thickener/stabiliser,5000 mg/kg*
42,Betagalactosidase,Lactase,G.M.P.
43,Sodium bicarbonate,Browning,G.M.P.
44,Sodium hydroxide,Browning,G.M.P.
45,Calcium hydroxide,Browning,G.M.P.
46,Sodium carbonate,Browning,G.M.P.
