,0,1,2,3,4,5,6,7
0,,,Diets,,,,,
1,Item,Alfalfa hey,C,OE,GPE,LO,OEL,GPL
2,Ingredient (%),,,,,,,
3,Alfalfa hey,,40,40,40,40,40,40
4,Whole barley grain,,32,32,32,29,29,29
5,Whole corn grain,,14,13.8,13.8,10/8,10,10
6,Soybean meal,,4,3.5,3.5,4,3.5,3.5
7,Wheat bran,,8.5,7.2,7.2,12.7,12,12
8,Salt,,0/5,0/5,0/5,0/5,0.5,0.5
9,Vitamin-mineral premix,,0/5,0/5,0/5,0/5,0.5,0.5
10,Sodium bicarbonate,,0.5,0.5,0/5,0.5,0.5,0.5
11,Linseed oil,,,,-,2,2,2
12,Leaf tannin extract,,,2,,,2,
13,Grape pomace tannin extract,,,,2,,,2
14,Chemical composition (%),,,,,,,
15,OM,79.98,84.54,84.26,81.17,82.75,85.26,80.53
16,CP,17.92,16.96,16.81,17.76,16.79,16.80,15.90
17,NDF,34.47,28.5,26.15,25.5,27.25,27.87,26.18
18,ADF,23.85,11.75,10.56,11.12,11.25,12.62,10.25
19,Ether extract,5.6,6.3,6.8,7.4,8.6,9.5,9.8
20,Fatty acid profile (g/100 g fatty acid,,,,,,,
21,C14:0,1.89,0.41,0.31,0.35,0.13,0.13,0.13
22,C16:0,19.44,17.48,18.74,18.19,9,8,8.27
23,C18:0,7.27,2.33,2.37,2.37,4.72,4.49,4.82
24,C18:1 cis,14.08,21.34,24.3,23.38,23.12,22.41,23.07
25,C18:2 cis,23.7,50.42,46.17,45.79,24.29,21.38,21.64
26,C18:3n6,26,ND,0.46,0.48,0.41,0.38,0.44
27,C18:3n3,23,3.46,3.02,3.12,36.17,40.07,39.01
