,0,1,2,3,4,5,6,7,8
0,,Treatment,,,,,,,
1,Item(g/100 g FA,C,OE,GPE,LO,OEL,GPL,SEM,P-value
2,C4:0,1.74,1.66,1.32,1.43,1.90,1.55,0.12,0.218
3,C6:0,2.13,2.08,1.67,1.85,1.99,1.69,0.08,0.226
4,C8:0,2.56,2.47,2.005,2.26,2.02,1.89,0.12,0.268
5,C10:0,9.35,9.01,7.23,8.06,6.33,6.11,0.38,0.055
6,C10:1,0.27,0.31,0.28,0.30,0.21,0.15,0.02,0.156
7,C11:0,0.13,0.12,0.06,0.09,0.05,0.04,0.01,0.169
8,C12:0,5.56,5.26,4.31,4.67,3.65,3.31,0.24,0.51
9,C14:0,11.06,12.54,10.76,10.63,10.96,9.53,0.39,0.219
10,C14:1,0.59,0.60,0.62,0.55,0.59,0.51,0.03,0.619
11,C15:0,0.94,0.90,0.91,0.70,0.74,0.77,0.04,0.2
12,C15:1,0.28,0.37,0.36,0.22,0.35,0.30,0.02,0.19
13,C16:0,29.63,30.32,29.04,24.31,27.31,25.59,1.49,0.562
14,C16:1,2.32,2.11,2.51,2.26,2.13,2.20,0.12,0.79
15,C17:0,0.63,0.59,0.70,0.47,0.58,0.59,0.02,0.103
16,C17:1,0.36,0.31,0.37,0.21,0.26,0.27,0.01,0.189
17,C18:0,6.62c,9.04b,9.20b,7.36ab,7.90ab,9.53a,0.45,0.003
18,C18:1t,1.78b,1.26b,1.63b,4.81a,3.92ab,3.99ab,0.33,0.002
19,C181c,16.17ab,15.14b,19.30ab,18.06ab,18.40ab,20.99a,0.54,0.03
20,C18:2t,0.54bc,0.44c,0.53bc,1.41a,1.02ab,1.30a,0.08,0.009
21,C18:2c,3.37,2.21,2.74,3.82,3.43,3.32,0.18,0.09
22,C18:3-n6,0.24,0.29,0.32,0.27,0.28,0.33,0.01,0.09
23,C18:3-n3,0.72b,0.51b,0.64b,1.86a,1.69a,1.41a,0.09,0.004
24,C20:0,0.11,0.11,0.10,0.06,0.23,0.09,0.02,0.18
25,C20:1,0.04,0.06,0.3,0.07,0.16,0.09,0.01,0.09
26,C20:2,0.03b,0.03b,0.04b,0.19ab,0.24a,0.13ab,0.01,0.007
27,C20:3-n3,0.035,0.03,0.11,0.015,0.1,0.012,0.02,0.37
28,C20:3-n6,0.24b,0.18be,0.27a,0.14c,0.17be,0.15c,0.01,0.011
29,C20:4-n6,0.03,0.01,0.02,ND,0.08,ND,0.02,0.61
30,CLAc9t11,0.66b,0.41b,0.63b,1.72a,1.52a,1.49a,0.04,<.0001
31,CLAt10c12,0.01b,0.026ab,0.025ab,0.075a,0.095a,0.045ab,0.006,0.015
32,C21:0,0.07ab,0.01b,0.1a,0.085ab,0.055ab,0.11a,0.009,0.028
33,C22:0,0.11,0.15,0.18,0.11,0.13,0.14,0.006,0.061
34,C22:1,0.035,0.03,0.06,0.045,0.03,0.05,0.006,0.41
35,C22:2,0.086,0.056,0.08,0.11,0.12,0.12,0.01,0.27
36,EPA,0.025,ND,0.03,0.035,0.075,ND,0.01,0.49
37,DHA,0.076,0.06,0.05,0.075,0.085,0.065,0.009,0.73
38,C24:0,0.05b,0.065ab,0.1a,0.045ab,0.055b,0.055b,0.004,0.012
39,C24:1,0.03,0.025,0.11,ND,ND,0.01,0.01,0.27
40,Saturated FA,70.69ab,74.33a,67.70ab,62.15b,63.90b,61.01b,1.01,0.006
41,Unsaturated FA,27.94c,24.43c,30.79bc,36.27ab,35.005b,36.96a,0.89,0.009
42,UFA/SFA ratio,0.4b,0.33b,0.45b,0.5gab,0.54b,0.61a,0.02,0.07
43,Omega 6/omega 3 ratio,0.78b,0.99a,0.85ab,0.27c,0.32c,0.37bc,0.04,0.001
44,AI,2.87,3.51,2.48,1.99,2.14,1.81,0.16,0.057
45,DI,0.052,0.048,0.057,0.051,0.054,0.053,0.002,0.207
46,MUFA,21.88c,20.21c,25.29b,26.54b,26.09b,28.56a,0.59,0.004
47,PUFA,6.07bc,4.25c,5.51bc,9.73a,8.91b,8.39b,0.32,0.003
48,de novo FA,66.57a,67.75a,61.10ab,57.34b,58.23b,53.65c,1.54,0.0002
49,Performed FA,32.08c,31.04c,37.41bc,41.0gb,40.68b,44.32a,1.43,0.0001
