,0,1,2,3
0,Cheese variety,Casein fragment,Bioactivities,References
1,"Festivo, Cheddar, Semi-hard cheese",f(1-6),"Antioxidative, ACE inhibitory","Ardo et al. (2009), Ong et al."
2,,f(1-7),,"2007),Ryhanen et al.(2001)"
3,Semi-hard cheese,f(1-8),Antioxidative,Ardo et al.(2009)
4,"Gouda,Festivo,Cheddar",f(1-9),"Antioxidative, ACE inhibitory,","Korhonen and Pihlanto (2006),"
5,,,anti-microbial,Hernandez-Ledesma et al.2011
6,Semi-hard cheese,f(1-13),Antioxidative,Saito et al. (2000)
7,,f(1-14),,Ardo et al.2007
8,,f(4-13),,
9,Burgos-type cheese,f(180-199),Antioxidative,Timon et al.2014
10,,f (193-209),,
11,,f (191-209),,
