,0,1,2,3
0,,,Ghee type,
1,TG,Cow ghee,,Buffalo ghee
2,C24,0.050.00,,0.080.01b
3,Cholesterol,0.22  0.00a,,0.230.01
4,C26,0.260.01,,0.490.01
5,C28,0.56  0.01a,,0.800.02b
6,C30,0.95  0.01a,,1.170.06b
7,C32,1.87 0.03,,2.510.12b
8,C34,4.49  0.03a,,6.81  0.26b
9,C36,9.29  0.02a,,13.380.31b
10,C38,12.620.04,,15.620.08b
11,C40,10.640.04,,10.470.05
12,C42,6.140.07,,5.190.14b
13,C44,5.340.07,,4.58 0.17b
14,C46,6.290.05a,,5.820.15b
15,C48,8.590.03a,,8.34 0.04b
16,C50,12.170.07,,10.430.24b
17,C52,12.870.11,,9.410.54b
18,C54,7.65  0.07a,,4.66 0.54b
