,0,1,2,3,4
0,Goat breed,Early lactation,Mid-lactation,Late lactation,Mean
1,Namg/LMeanSD,,,,
2,TS,267.2712.80,309.218.49,361.2422.50,312.5740.86
3,MG,277.93 18.75,305.9014.29,365.66  24.62,316.50  42.03
4,HG,302.0131.17,309.3523.98,374.0519.81,328.4740.95
5,Mean,282.4025.51,308.15 15.69B,366.98  22.26A,
6,Kmg/LMeanSD,,,,
7,TS,1506.8481.35,1697.7253.44,1624.4989.91,1609.68106.49a
8,MG,1458.8741.15,1514.3080.05,1524.5675.44,1499.24  69.52b
9,HG,1407.76 126.48,1462.33  71.55,1548.52  42.08,1472.87 100.68b
10,Mean,1457.82  93.27B,1558.12122.61A,1565.86  79.74A,
11,Mg(mg/L MeanSD,,,,
12,Lactation stage,,,,
13,TS,90.55  2.24Cb,101.514.00Bb,134.63  12.76Aa,108.9019.82
14,MG,125.07  8.69Ba,121.38  6.85Ba,142.54  12.09Aa,129.6612.96
15,HG,130.58 23.14Aa,112.309.70Ab,134.89  10.3gAa,125.92  17.70
16,Mean,115.4022.63,111.7310.75,137.35  12.04,
17,Ca (mg/L Mean SD,,,,
18,TS,1170.53 22.12ABa,1101.8151.29Bb,1247.45  93.19Aa,1173.2680.33
19,MG,1297.00  79.34Aa,1178.5837.99Ba,1156.15 56.49Ba,1210.5884.93
20,HG,1252.66  133.73Aa,1213.98  67.22Aa,1238.87  31.83Aa,1235.1783.45
21,Mean,1240.0699.94,1164.79  69.31,1214.1673.04,
22,P (mg/L) Mean  SD,,,,
23,TS,850.91 35.5oBb,759.47  24.19Cc,1039.46  87.21Aa,883.28125.43
24,MG,1027.45  101.05Aa,956.57  57.87Aa,1042.93  59.79Aa,1008.9880.06
25,HG,1046.13173.81Aa,865.24  19.69Bab,1004.09  45.00ABa,971.82125.39
26,Mean,974.83142.12,860.4390.47,1028.8365.48,
27,Zn mg/L Mean SD,,,,
28,TS,3.210.57,1.770.30,2.110.17,2.36 0.71b
29,MG,3.530.85,2.910.31,2.760.32,3.070.62a
30,HG,3.61 0.71,2.76  0.19,2.63  0.21,3.00  0.61a
31,Mean,3.45  0.69A,2.48  0.58B,2.50  0.3gB,
32,S (mg/L) Mean  SD,,,,
33,TS,297.95 17.87Bc,293.48  9.41Bc,344.33  10.62Ac,311.9227.38
34,MG,348.04  19.59Ab,363.0715.20Aa,365.29  11.15Ab,358.8016.56
35,HG,373.76 9.88Aa,326.07  8.13Bb,390.68  19.54Aa,363.5030.95
36,Mean,339.9235.92,327.5431.24,366.77  23.60,
37,Fe (mg/L)MeanSD,,,,
38,TS,0.70 0.26,0.370.05,0.56 0.08,0.54 0.20
39,MG,0.600.21,0.46 0.05,0.41  0.09,0.49 0.15
40,HG,0.59 0.15,0.61  0.26,0.50  0.16,0.570.19
41,Mean,0.63  0.20A,0.48  0.17B,0.49  0.13AB,
