,0,1,2,3
0,Enzymes,Protein source,Identified peptides,Reference
1,Proteinase K,Cheese whey proteins,-CN(59-64,Abubakar et al.1998
2,,,-CN (62-63),
3,,,-CN (157-158),
4,,,-CN (205-206),
5,Trypsin,Caseins,s1-CN (23-34),Karaki et al.1990
6,,,-CN (177-183),Miguel et al.2007
7,,,s1-CN (194-199),
8,Pepsin,Caseins,s1-CN f(90-94),Contreras et al.(2009
9,,,s1-CN f(143-149),Ruiz-Gimeneza et al.2012
10,,,s2-CN f(89-95),
11,,,s2-CN f(203-208),
12,Trypsin,s2-CN,s2-CN (25-32),Tauzin et al.2002
13,,,s2-CN (81-89),
14,,,s2-CN (81-91),
15,,,s2-CN (92-98),
16,Lc.lactis NRRLB-50571,Enzyme-modified cheese,-CN f(102-104,Tonouchi et al.2008
17,Lc.lactis NRRL B-50572,,K-CN f(98-110),"Rodriguez-Figueroa et al.2012,2013"
18,,,-CN f(69-77),
19,,,K-CN f(35-40),
20,,,-CN f(194-209),
