,0,1,2,3,4
0,,Buffalo skim milk,Buffalo MCC,Cow skim milk,Cow MCC
1,Total protein (%),3.960.02,16.340.24,3.570.04,14.420.27
2,Total solids (%),11.58  0.29,20.83  0.31,10.320.06,17.24  0.53
3,Ash (%),0.820.04,1.170.087,0.740.034,1.05  0.16
4,Whey protein (%,0.670.02,0.120.001,0.62 0.04,0.090.003
5,Casein (total protein-whey protein (%,3.29,16.22,2.95,14.33
6,Casein (DM basis)(%),28.41,77.86,28.58,83.12
7,Casein/whey protein,4.91,135.16,4.75,159.22
8,Protein/ash,4.82,13.96,4.82,13.73
9,Decrease in whey protein (%),82.08,,85.48,
10,Calcium (mg/100 mL),102.5 1.59,75.2 2.54,96.0  1.68,71.2  2.63
11,Calcium/protein (mg/g casein),25.88,4.60,26.89,4.93
