,0,1,2,3,4,5
0,Source,Sum of square,Df,Mean square,F,P value
1,XI,4.12,1,4.12,2763.85,<0.0001
2,X2,0.44,1,0.44,296.6,<0.0001
3,X3,0.036,1,0.036,24.21,<0.0001
4,X4,0.0061,1,0.0061,4.03,0.0557
5,Xs,0.0039,1,0.0039,2.62,0.1181
6,XX2,0.02,1,0.02,13.15,0.0013
7,XX,0.058,1,0.058,38.63,<0.0001
8,XX4,0.017,1,0.017,11.33,0.0025
9,XX5,0.029,1,0.029,19.38,0.0002
10,XX3,0.002,1,0.002,1.36,0.2549
11,XX4,0.0064,1,0.0064,4.29,0.0487
12,XXs,0.081,1,0.081,54.48,<0.0001
13,XX4,0.0025,1,0.0025,0.15,0.701
14,XXs,0,1,0,0,1
15,X4Xs,0.0001,1,0.0001,0.067,0.7978
16,x2,0.17,1,0.17,112.35,<0.0001
17,X2,0.082,1,0.082,54.93,<0.0001
18,X2,0.36,1,0.36,238.54,<0.0001
19,X42,0.15,1,0.15,100.51,<0.0001
20,"X,2",0.15,1,0.15,103.09,<0.0001
21,Residual,0.037,25,0.00149,,
22,Lack of fit,0.029,20,0.00145,0.87,0.6334
23,Pure error,0.00833,5,0.00167,,
24,Cor total,5.34,45,,,
25,,R=99.3%,,,Radj=98.74%,
