,0,1,2,3,4,5,6,7,8,9,10,11
0,,Whey butter,,,,,,,Milk butter,Milk butter,,
1,,WB1,WB2,,WB3,,WB4,,MB1,,MB2,
2,Melting,,,,,,,,,,,
3,Slope,,,,,,,,,,,
4,Tstart C,48.620.30,48.780.41,48.780.41,48.800.34,48.800.34,49.100.28,49.100.28,49.580.47,49.580.47,49.150.33,49.150.33
5,TonsetC,30.250.18,30.070.22,30.070.22,29.810.29,29.810.29,29.840.20,29.840.20,29.650.49,29.650.49,29.820.10,29.820.10
6,TendC,10.920.25,-11.160.13,-11.160.13,-11.070.24,-11.070.24,11.230.22,11.230.22,11.390.29,11.390.29,11.080.30,11.080.30
7,Peak 1,,,,,,,,,,,
8,TonsetC,6.310.12,6.53  0.21,6.53  0.21,6.25  0.13,6.25  0.13,6.010.21,6.010.21,,6.430.27,,6.230.30
9,TpeakC,3.38  0.08,,3.20 0.13,,3.52  0.18,,3.46  0.07,,3.380.15,,3.160.17
10,Tend(C),5.50  0.20,,5.16 0.18,,5.43  0.08,,5.47  0.08,,5.270.17,,5.370.11
11,Peak 2,,,,,,,,,,,
12,Tonset C,6.67  0.12,,6.78 0.16,,6.43  0.26,,6.56  0.38,,6.23  0.47,,6.430.15
13,TpeakC,11.95 0.35,,12.000.15,,12.26  0.25,,11.84 0.35,,12.36 0.30,,12.140.20
14,Tend C,15.700.30,,15.860.32,,15.64  0.27,,15.270.33,,15.96 0.41,,15.700.26
15,Peak 3,,,,,,,,,,,
16,Tonset(C,21.370.35,,22.050.40,,22.26  0.38,,22.33  0.38,,22.36  0.16,,21.890.40
17,TpeakC,31.38 0.21,,31.37  0.08,,31.41  0.18,,31.42  0.28,,30.90  0.31,,31.03 0.38
18,TendC,32.870.23,,33.040.15,,33.060.18,,33.100.33,,33.300.42,,32.980.19
19,Thermo-oxidation,,,,,,,,,,,
20,TonsetC,203.710.03,203.16 0.06,203.16 0.06,203.460.57,203.460.57,203.340.75,203.340.75,203.11  0.83,203.11  0.83,203.89  0.43,203.89  0.43
21,TpeakC,306.311.16,307.980.18,307.980.18,306.170.35,306.170.35,306.020.06,306.020.06,307.350.87,307.350.87,306.750.56,306.750.56
22,Tend (C),369.450.88,369.210.49,369.210.49,370.250.85,370.250.85,369.230.22,369.230.22,369.290.64,369.290.64,369.390.48,369.390.48
23,H(J/g),3007.4032.37,3002.2118.65,3002.2118.65,3022.6845.04,3022.6845.04,3003.9462.42,3003.9462.42,3026.4646.00,3026.4646.00,2989.21 12.22,2989.21 12.22
