,0,1,2,3,4,5,6,7,8,9
0,,VI,V2,V3,V4,V5,V6,V7,V8,Total
1,Depot A,,,,,,,,,
2,Jan,283,18,,,,,,,301
3,Feb,133,177,,,,,,,310
4,Mar,45,62,83,120,76,,,,386
5,Apr,54,86,69,90,45,39,83,,467
6,May,42,86,54,45,92,69,91,12,492
7,Depot B,,,,,,,,,
8,Jan,337,71,,,,,,,408
9,Feb,234,182,,,,,,,415
10,Mar,78,122,131,182,134,,,,647
11,Apr,116,103,152,126,74,125,147,,842
12,May,126,125,104,130,115,75,98,166,938
13,Depot C,,,,,,,,,
14,Jan,382,145,,,,,,,527
15,Feb,266,291,,,,,,,558
16,Mar,192,141,208,170,238,,,,948
17,Apr,215,172,204,185,181,149,150,,1256
18,May,170,141,225,178,187,196,165,142,1403
19,Depot D,,,,,,,,,
20,Jan,383,259,,,,,,,643
21,Feb,339,308,,,,,,,647
22,Mar,288,234,244,272,199,,,,1238
23,Apr,197,220,252,240,231,278,236,,1654
24,May,246,240,227,197,267,237,233,217,1865
