,0,1,2,3,4,5
0,Formulation,L*,a*,b*,Casson viscosity(Pa s),Casson yield value(Pa)
1,1,41.622.34,7.010.45,12.161.23,1.740.01,2.210.03
2,2,40.79  1.44,6.75 0.76,12.480.23,1.710.00,2.09  0.00
3,3,42.381.03,7.140.23,11.560.25,1.410.07,2.050.00
4,4,42.120.56,7.26  0.99,13.611.04,2.080.07,2.580.32
5,5,42.34 1.33,7.140.21,11.541.25,1.440.42,2.060.14
6,6,42.090.34,7.66  1.02,13.981.75,2.210.04,2.08  0.10
7,7(Control),42.071.58,7.720.96,13.811.08,1.390.02,2.330.08
8,8,42.312.02,7.76  1.29,13.821.55,2.580.03,2.12  0.07
9,9,40.071.33,7.360.21,13.020.45,3.530.16,3.370.24
10,10,40.741.17,7.30  1.46,12.61  1.05,1.85 0.16,2.30  0.27
11,11,41.171.29,7.360.20,13.421.98,1.920.12,2.280.10
12,12,40.491.28,6.820.63,12.440.23,1.690.09,2.070.03
