,0,1,2,3,4
0,FA,Aut,Win,Spr,Sum
1,C4:0,2.87,2.93,2.91,3.19
2,C6:0,1.98,2.02,1.96,2.23
3,C8:0,1.20,1.21,1.18,1.34
4,C10:0,2.93,2.76,2.60,2.96
5,C10:1,0.24,0.22,0.20,0.24
6,C12:0,3.55,3.16,2.91,3.30
7,C14:0,11.71,10.8,9.98,10.66
8,C14:1,1.51,1.43,1.39,1.47
9,C16:0,34.69,30.56,27.66,28.78
10,C16:1,2.06,2.04,2.10,1.96
11,C18:0,9.74,11.65,13.24,12.36
12,C18:1,19.53,23.01,24.93,23.09
13,C18:2,2.78,3.25,3.57,3.28
14,C18:3,0.49,0.40,0.38,0.54
15,C20:0,0.19,0.21,0.21,0.24
16,C22:0,0.09,0.11,0.10,0.11
17,Others,4.17,4.23,4.34,4.27
