,0,1,2,3,4,5,6
0,Powder properties,Units,Method,WPIc,WPIUH,WPIH,WPIHCa
1,Particle density,g/cm3,GP,1.17  0.00a,1.12  0.09b,1.13 0.01b,1.12 0.01b
2,Occluded air,%,CT,3.8  0.4a,2.3  0.2b,3.8  0.3a,3.9  0.2a
3,Occluded air,%,T,2.0b,2.7a,2.6a,2.5a
4,Interstitial air,%,CT,36.5  0.7a,16.3  0.2c,24.5  0.9b,35.7  1.1a
5,Interstitial air,%,T,22.7d,62.5a,50.0b,46.7c
6,Compression index,n/a,PFT,41.0  2.5a,41.4  0.5a,42.8  2.5a,47.3  5.4a
7,Colour parameters,,,,,,
8,L*,n/a,c,69.4  0.31b,74.8  0.60a,74.9  0.57a,74.1  0.03a
9,a*,n/a,C,0.97  0.01a,0.84  0.03a,0.73  0.05a,-1.18  0.02a
10,b*,n/a,C,5.67  0.02a,5.17  0.02a,5.08  0.01a,5.350.01a
