,0,1,2,3,4
0,,,,Apparent viscos-,Flow behaviour
1,,,,"ity,300s-1","index, n"
2,Total,,,,
3,solids,CN:WP,Heat,,
4,%,ratio,treatment,mPa.s,
5,20%,0:100,HTI,12.0  0.95d.A,0.96  0.02a.A
6,,,HTII,16.7  7.24d.A,0.94  0.04a.A
7,,20:80,HTI,12.5  3.65d.A,0.94  0.06a.A
8,,,HTII,20.3  14.0d.A,0.92  0.05a.A
9,,50:50,HTI,7.30  1.10d.A,0.94  0.02a.A
10,,,HTII,7.58  0.52d.A,0.95  0.00a.A
11,,80:20,HTI,6.11  0.55d.A,0.92  0.03a.A
12,,,HTII,6.64  1.25d.A,0.83  0.03a.A
13,25%,0:100,HTI,,
14,,,HTII,,
15,,20:80,HTI,121.80.5gab.A,0.67  0.15a.A
16,,,HTII,172.3  31.ga.A,0.51  0.22a.A
17,,50:50,HTI,16.85  3.63d.B,0.89  0.05a.A
18,,,HTII,17.02  0.95d.B,0.95  0.00a.A
19,,80:20,HTI,11.35  0.82d.B,0.88  0.02a.A
20,,,HTII,12.52  2.09d.B,0.66  0.26a.A
21,30%,0:100,HTI,,
22,,,HTII,,
23,,20:80,HTI,,
24,,,HTII,,
25,,50:50,HTI,35.29  3.90cd.A,0.91  0.02a.A
26,,,HTII,42.37  1.73cd.A,0.86  0.03a.A
27,,80:20,HTI,23.83  2.38d.B,0.85  0.03a.A
28,,,HTII,24.72  5.63d.B,0.61  0.32a.A
29,35%,0:100,HTI,,
30,,,HTII,,
31,,20:80,HTI,,
32,,,HTII,,
33,,50:50,HTI,,
34,,,HTII,,
35,,80:20,HTI,58.17  14.6cd.A,0.79  0.04a.A
36,,,HTII,84.83  42.8bc.A,0.78  0.01aA
