,0,1,2,3,4,5,6,7,8
0,,,,HACCP certification,,,,HACCP noncertification,
1,,,,,Frequency of,,,,Frequency of
2,,,Frequency of,No. of dairy,treatment per,,Frequency of,,treatment per
3,Farm,treatment (number),treatment (number),cattle' (number),cattle (no./cattle),treatment (number),treatment (number),cattle' (number),cattle (no./cattle)
4,A,4,,118,0.03b,3,,53,0.06a
5,B,11,,91,0.12b,20,,37,0.54a
6,c,24,,59,0.41b,44,,27,1.63a
7,D,3,,42,0.07b,18,,53,0.34a
8,E,0,,116,0.00,0,,49,0.00
9,F,8,,135,0.06b,5,,46,0.11a
10,Total,50,,261,0.09b,90,,265,0.34a
