,0,1,2,3,4
0,,,Location in,Molecular,
1,Protein,Glycosylation,MFGM structure,weight,Healthproperties/function
2,Butyrophilin (BTN)b,N-linked oligosaccharides at Asn,Transmembrane,67 000,Suppression of multiple sclerosis/
3,,55and Asn 215,protein,,regulation of milk fat globule secretion
4,,,,,T-cell proliferation and metabolism
5,Mucin I (MUC1)b,Predominantly O-Linked,Outer polar lipid (PL),160000,Antiviral action/anti-rotavirus especially in
6,,glycosylation,monolayer,200000,neonates/bind to microorganisms and
7,,,,,chemicals
8,Xanthine oxidase (XO,,Inner PL monolayer,150 000,Bactericidal activity
9,Cluster of differentiation,8 N-linked sites,Outer PL monolayer,76000,Macrophage marker/phagocytosis by
10,(CD36 or PASa IVb,,,78 000,neutrophiles
11,Mucin 15PASIII,Highly O-Linked and to a lesser,Outer PL monolayer,95 000,Antiviral action
12,,extent N-linked glycosylation,,100 000,
13,Lactadherin (PASa6/7b,PAS 6 1 O-linked (Ser 9) and,Outer layer of milk fat,48 000,Maintenance of intestinal epithelial
14,,2 N-linked (Asn 41 and 209,globule membrane,54000,homeostasis/promotion of mucosal
15,,PAS 7 1 O-linked (Thr 16) 1 N,,,healing/potent anticoagulant/protection
16,,linked (Asn 41),,,against rotavirus in the gut/cell
17,,,,,"polarisation, movement and"
18,,,,,rearrangement/binding phospholipids/
19,,,,,neurite outgrowth/synaptic activity in the
20,,,,,central nervous system/suppress
21,,,,,apoptosis and inflammation/mediate
22,,,,,indothelial
23,Adipophilin (ADPH),,Inner PL monolayer,52 000,Uptake and transport of fatty acids/
24,,,,,triglycerides
25,Breast cancer type 1/2,,,210000,Inhibition of breast cancer
26,(BRCA1/BRCA2),,,,
27,Fatty acid binding,,,13 000,Cell growth inhibitor/anticancer factor
28,protein (FABP),,,,regulation of lipid metabolism
