,0,1,2,3,4,5,6,7
0,,,TTA,,,,,
1,,,Storage time (days,,,,,
2,Yoghurt formulation,,1,7,,14,21,
3,PY,,"0.840.04a,A",,"0.890.02a,A","0.90  0.02 (a, A",,0.930.03bA
4,Inu-SY,,"0.800.05a,A",,"0.890.05a,A","0.940.02a,A","1.010.03ab,A","1.010.03ab,A"
5,LMWGT-SY,,"0.85 0.01 a,B",,"1.000.02a,AB","1.08  0.04 (a,A",,1.170.07aA
6,GT-SY,,"0.82 0.01 (a,A",,"0.89  0.07 (a, A","0.93  0.02 a,A)","0.980.03ab,A","0.980.03ab,A"
7,Control,,"0.81 0.00 (a,A",,0.830.03aA,"0.89  0.02 a,A",,"0.94 0.02 (b, A)"
8,,pH,,,,,,
9,Y,"4.390.06 b,A","4.390.06 b,A",,"4.33 0.04 ab,A)","4.29 0.01 ab,A)",,"4.250.02a,A"
10,nu-SY,"4.58  0.06 a,A","4.58  0.06 a,A",,"4.38 0.00 (ab,B",4.250.02abBC,,"4.150.03ab,"
11,LMWGT-SY,"4.350.04 (b,A","4.350.04 (b,A","4.21 0.02 (b,AB)","4.21 0.02 (b,AB)","4.120.01b,BC",,"4.020.04b,"
12,GT-SY,"4.450.01ab,A","4.450.01ab,A",,4.350.00ab.AB,"4.23 0.00 ab,B)",,4.190.05ab.B
13,Control,"4.470.00ab,A","4.470.00ab,A","4.40  0.02 a,AB","4.40  0.02 a,AB","4.32  0.02 (a,AB)",,"4.24  0.04 (a,B"
