,0,1,2,3,4
0,Sample,Day 1,Day 7,Day 14,Day 21
1,Firmness (g),,,,
2,CS,88.39  3.00cD,89.30  3.70cD,129.44  2.56bE,172.41  2.59aB
3,RE,132.30  1.70dB,183.53  2.53bA,251.18  1.1gaA,175.771.23cB
4,GSE,145.25  2.75cA,154.55  4.00bB,166.58  3.00ac,120.94  3.00dD
5,TE,73.70  3.70cE,75.80  3.00cE,126.70  2.01bE,185.15 2.85aA
6,GTE,130.36  3.36bB,145.54  2.00ac,148.26  2.74aD,143.09 3.91aC
7,ME,104.76  1.24cC,189.80 1.20aA,194.40 5.00aB,145.373.00bC
8,Consistency (gsec),,,,
9,CS,1749.58  56.01dE,1912.07  94.72cE,2404.07  13.87bE,3426.23  82.22ac
10,RE,2729.26  67.45dc,3413.39  43.71cA,4596.25  54.38aA,3611.01  14.79bB
11,GSE,3428.18  87.21bA,2420.67  73.43dD,3614.15  92.28aC,2732.68  38.39cD
12,TE,1818.78 38.08cE,1918.78  20.00cE,2718.13  77.40bD,3709.88  75.51aA
13,GTE,3022.08  93.36aB,2912.60  94.96ac,2506.63  56.92bE,2620.33  29.89bE
14,ME,2070.23  58.32dD,3107.84  50.16bB,4210.59  47.29aB,2712.47  32.14cD
15,Cohesiveness (g),,,,
16,CS,49.61  2.00aA,-54.68  2.93bA,63.252.77cA,-68.78  0.53dA
17,RE,-81.89  1.22aD,104.48  2.66bD,120.56  2.57cD,-81.011.15aD
18,GSE,-64.93  0.13bB,95.78  1.59dc,92.33 1.94cc,61.44  1.03aA
19,TE,52.13  4.70aA,53.80  0.74aA,78.76 1.03bB,86.83  1.35cE
20,GTE,-71.56  1.13cc,-80.39 1.68dB,68.68  1.90bA,71.50  0.77cB
21,ME,-61.871.15aB,-108.91 1.76dE,90.26  0.22cc,75.28  2.62bc
22,Index of viscosity (gsec),,,,
23,CS,123.21  2.00aA,-130.08  1.5gbA,164.18  2.74cA,-168.65  0.85dB
24,RE,174.64  3.00aD,211.96  1.48cE,219.94  1.91dD,-195.31  2.58bD
25,GSE,162.29  2.26bc,-173.68 3.09cc,-193.02  4.15dB,-144.521.50aA
26,TE,-125.90  0.36aA,-135.900.3gbB,-178.390.94cB,-189.010.76dD
27,GTE,-162.16 2.09aC,-171.921.84bc,-163.343.32aA,177.56  1.60cc
28,ME,-145.771.15aB,-184.27 5.21cD,200.59  0.63dc,-171.13  0.99bB
