,0,1,2,3
0,,,Dry matter,Fat
1,Sample,pH,%w/v),%w/v)
2,Regular milk,6.670.02,14.020.03,3.550.03
3,Enhanced milk,6.820.07,14.850.65,3.590.02
4,Regular yoghurt at,4.600.01,13.870.49,3.620.05
5,5 days (YoFlex,,,
6,Premium 4.0,,,
7,Enhanced yoghurt at,4.630.0214.311.263.560.04,4.630.0214.311.263.560.04,
8,5 days (YoFlex,,,
9,Premium 4.0),,,
10,Regular yoghurt at,4.530.0214.030.063.530.05,4.530.0214.030.063.530.05,
11,5 days(ABT-100),,,
12,Enhanced yoghurt at,4.580.04,14.690.71,3.590.04
13,5 days(ABT-100,,,
