,0,1,2,3,4,5,6,7,8,9
0,,Counts (log cfu/g),Counts (log cfu/g),Counts (log cfu/g),,,,,,
1,,,LAB,LAB,,,Yeasts,,,
2,Sample,,on,on,,,and,,,
3,n.,TMC,MRS,M17,Enterococci,CNC,moulds,pH,aw,Isolates
4,20,8.08,7.88,7.60,<1,<1,<1,5.40,0.96,"L.paracasei (MRS,M17)"
5,,"Dairy 2, Caciotta cheese","Dairy 2, Caciotta cheese",,,,,,,
6,1,6.97,6.65,6.18,4.79,3.17,2.78,5.50,0.97,"L.paracasei (MRS,Lactococcus lactis subsp.lactis (M17)"
7,,,,,,,,,,"Rothia dentocariosa,E.faecalis"
8,2,6.89,6.59,6.41,<1,<1,<1,5.40,0.98,"L.paracasei (MRS),L.lactis subsp.lactis (M17"
9,3,6.88,6.65,6.52,<1,<1,<1,5.58,0.98,"L.paracasei(MRS),S.thermophilus (M17"
