,0,1,2,3,4,5
0,,Trabecular volume/bone vol-,Trabecular thickness,Trabecular separation,Trabecular number,Structure model
1,Group,"ume(TV/BV,%)","(Tb.t,mm)","Tb.s,mm)","Tb.n,mm-)",index(SMI)
2,SHAM,23.88  1.53a,0.13  0.07bc,0.49  0.11b,1.78  0.27a,1.16  0.11c
3,OVX,19.17  1.72a,0.14  0.06a,0.73  0.22a,1.38 0.11ab,1.50  0.37bc
4,OVX-LPS+Drug,16.93  0.76b,0.14  0.06a,0.76  0.25a,1.23  0.12bc,1.480.13bc
5,OVX-LPS,8.68  2.57c,0.11  0.05c,0.74  0.31a,0.96  0.18bc,2.37  0.15a
6,OVX-LPS+MF27,11.21 0.87c,0.12  0.05bc,0.79  0.25a,0.90  0.23c,2.15 0.11ab
7,OVX-LPS+393,12.71 0.15b,0.13 0.06bc,0.81  0.25a,0.95 0.13bc,1.94 0.68abc
8,OVX-,13.02  0.22b,0.13  0.06bc,0.68  0.24a,1.04  0.11bc,1.94  0.72abc
9,LPS+MF27+393,,,,,
