,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,000860,,200690,9L'0F aog8'8E,,0tFgv08tI,00,Z0'0FgZ'89,,Z0'0 F og6'EI,00g11,80'0TvII,,tO'O F gvLEZ,100 F av99'0,
1,E8,,,,,,,,,,,,,,,,,
2,,,100860,,,,SO'0 F gvLE'O,,,,,,,90'0 Tv8II,,,Z0'0 F gv89'0,800g80
3,,I00v00,100860,,,,I00g1E0,OtFg0vZI,,100089,,,S0'0F8'4I,,,,00gv90,
4,2,,,,,,,,,,,,,,,,,
5,,Z0'0 F vV0'Y,100y860,,,,,OZIT089I,,,,,SO'0F gI'SI,,,,100gv90,
6,,I0'0 F vS0'v,100860,99'0 F avI'69,100690,,,O8F gv0ZCI,10,10099,,90'0Fg0I,80'0 F gZ'SI,,0000,,Z00F69'0,90'0F g$8'0
7,IX,,,,,,,,,,,,,,,,,
8,,10'0v90v,100860,,100690,90E,,0ZIF g0ZEI,,00'0+ q6 L9,Z0'0 T vtI'9-,,,,,9Z'0 F g80'Z,200,OI'0FyI9T
9,,00'0F v&0'v,100860,66'0 F gv969,,tZ'0 F gvZ'It,,,,10089,800,,,,600610,Z0'OF gv0Z'Z,I0'0 F avS9'0,
10,,,I00+ v86'0,,,Z6'0F ogZ'6E,,,,0089,800S,,800a9,09gSII,,II'0+qI60,+00g90,6I0FgZ80
11,,,,,,,,1,1,,,,,,,,,
12,,HO,,,,,,,,*,*,,,qoy,TT,,N,
