,0,1,2,3,4,5
0,Treatment,G',"G""",Gamma (%),(Pa),G=GPa
1,YL-B,11310.11f,314.6  0.23d,0.45  0.02b,4.46  0.02d,71.300.03
2,YB-B,14810.14c,365.2  0.18c,0.44  0.03cb,6 0.08ba,29.33  0.05k
3,YLB-B,1630  0.12b,413.7  0.22b,0.42  0.01d,0.36  0.01h,29.35  0.05k
4,YLp-B,1156 0.11d,285.4  0.11e,0.42  0.01d,4.5  0.02d,25.06  0.041
5,YBp-B,11410.13e,308.8  0.10e,0.49  0.09a,5.130.03c,25.13  0.05l
6,Y(LB)p-B,1760  0.20a,470.8  0.29a,0.42  0.01d,6.87  0.07a,32.17  0.06h
7,YL-A,485.6  0.18k,136.4  0.121,0.45  0.02b,4.46  0.08d,75.94  0.07d
8,YB-A,532.1  0.12h,147 0.17k,0.42  0.00d,2.08  0.04f,81.54  0.08b
9,YLB-A,549.3 0.15g,163.3  0.148,0.49  0.08a,2.58  0.05e,85.60  0.09a
10,YLp-A,452.2  0.10n,135.3  0.11,0.42  0.01d,1.78  0.018,69.94  0.04f
11,YBp-A,469.1  0.11,145.4  0.15h,0.42  0.01d,1.87  0.018,79.08 0.08
12,Y(LB)p-A,495.6  0.12m,195.3  0.14f,0.44  0.03cb,2.47  0.02e,57.01 0.058
