,0,1,2,3,4,5,6,7
0,Type of fortifi,,,,Work of shear,Work of adhesion,,Retardation time
1,cant used,Sample,Firmness (N),Stickiness (N),(N s),(N s),Yield stress (N),(s)
2,,Control,7.38  0.649a,6.660.607a,7.88 0.665a,-1.95  0.25a,0.741 0.011a,2.08  0.12a
3,Flaxseed oil,2.9%,6.37  0.632b,-5.720.636bc,6.76  0.750b,1.74  0.266b,0.722  0.015b,1.81 0.11b
4,,OABA,,,,,,
5,,4.1%,5.95 0.671bc,5.25  0.672cd,6.32  0.684b,1.64 0.171bed,0.7190.008bc,1.750.133bc
6,,OABA,,,,,,
7,,5.1%,5.36  0.671cd,4.910.743,5.47  0.670bc,1.470.198de,0.706 0.007cd,1.63  0.094cd
8,,OABA,,,,,,
9,,2.9%,6.49  0.763b,5.93 0.804b,6.48  0.720b,-1.660.232bc,0.705  0.017d,1.71 0.145bc
10,,OAAA,,,,,,
11,,4.1%,5.71  0.555c,-5.310.566bcd,5.93  0.472bc,-1.5  0.135cde,0.698  0.022de,1.67  0.177bc
12,,OAAA,,,,,,
13,,5.1%,5.09  0.553d,4.85  0.705d,5.030.360c,1.350.095,0.685  0.012e,1.54  0.146d
14,,OAAA,,,,,,
15,Flaxseed oil,4.8%,5.08  0.477cd,4.90.673c,4.84  0.272cd,1.34 0.091cd,0.685  0.009c,1.70.148ab
16,whey protein,EABA,,,,,,
17,concentrate,6.8%,4.85  0.548d,4.750.648,4.62  0.447d,1.28  0.117d,0.676  0.02d,1.55  0.203cd
18,emulsion,EABA,,,,,,
19,,8.6%,4.36  0.429e,4.360.467,4.18  0.426e,1.16 0.082e,0.6440.016e,1.47  0.086d
20,,EABA,,,,,,
21,,4.8%,6.46  0.646b,5.79  0.706b,6.73  0.606a,-1.69  0.128b,0.715  0.013b,1.760.12ab
22,,EAAA,,,,,,
23,,6.8%,5.47  0.285c,4.94 0.321c,5.65  0.330b,-1.410.09c,0.704  0.015ab,1.730.137ab
24,,EAAA,,,,,,
25,,8.6%,5.15  0.566cd,4.70.686,5.270.481bc,-1.39 0.145cd,0.697  0.008bc,1.65  0.132bc
26,,EAAA,,,,,,
