,0,1,2,3,4
0,,Storage days,,,
1,,1,7,14,21
2,pH,,,,
3,SF,4.72  0.01ax,4.55  0.01bx,4.49  0.01cx,4.34  0.01dx
4,SD,4.82  0.01aY,4.68  0.01bY,4.57  0.01bY,4.36  0.02cY
5,BF,4.67  0.01aZ,4.53  0.01bx,4.48  0.01cz,4.33  0.01ax
6,BD,4.56  0.01aT,4.49  0.01bz,4.34  0.01cT,4.30  0.01dz
7,BSF,4.62  0.01aw,4.36  0.01bT,4.30  0.01bw,4.28  0.01cT
8,BSD,4.54  0.01aU,4.38  0.01bT,4.28  0.01cU,4.24  0.01dZ
9,Lactic acid (%),,,,
10,SF,0.32  0.00ax,0.34  0.00bx,0.38  0.00cX,0.58  0.00dx
11,SD,0.32  0.00ax,0.34  0.00bx,0.37  0.00cY,0.56  0.00dY
12,BF,0.35  0.00aY,0.38  0.00bY,0.42  0.00cZ,0.61  0.00dZ
13,BD,0.37  0.00aZ,0.39  0.00byZ,0.48  0.00cT,0.66  0.01dT
14,BSF,0.35  0.00aY,0.40  0.00bz,0.44  0.00cw,0.66  0.00dT
15,BSD,0.37  0.00aZ,0.38  0.00aY,0.48  0.01bT,0.69  0.01cw
