,0,1,2,3,4,5,6
0,Sample code,Hardness (g),Cohesiveness (N),Gumminess (g),Springiness (mm),Adhesiveness (mj),Chewiness (mj)
1,F1,104.6  4.3f,0.4  1.2d,55.0  3.7e,14.4  0.2a,0.2  0.0g,9.3  0.11cd
2,F2,94.4  4.5g,0.4  0.2d,48.2  4.3e,12.5  0.3fg,0.7  0.0e,7.3  0.7ef
3,F3,125.6  3.9e,0.3 0.1e,66.3  8.2d,12.7  0.4ef,1.00.0c,7.9  0.8e
4,F4,137.6  3.6d,0.3  0.0,76.14.3bc,13.3  0.2cd,1.2  0.0b,10.2  0.4ab
5,F5,101.54.1f,0.6  0.0b,52.1  3.4e,12.3  0.3fg,0.5  0.0f,6.1  0.68
6,F6,134.5 3.4,0.50.1,70.4  5.1cd,12.7  0.2ef,0.6  0.0ef,8.7  0.1d
7,F7,145.73.8c,0.4  0.0d,81.4  5.4ab,13.6 0.1bc,1.00.1,9.3  0.5cd
8,F8,124.3  2.4e,0.70.1a,66.4  3.4d,12.2  0.2g,0.2  0.0,5.6  0.18
9,F9,136.0 4.1d,0.6  0.0b,70.5  2.7cd,13.0  0.1de,0.6  0.0cf,7.5  0.5ef
10,F10,147.0 2.6c,0.50.1,81.6  4.2ab,13.4  0.2cd,0.9  0.1cd,8.8  0.8d
11,F11,101.6  3.3f,0.50.1d,52.6  4.3e,13.0  0.3de,0.8  0.1d,7.3  0.1ef
12,F12,135.1  2.8d,0.4  0.2d,76.8  4.3bc,13.6 0.2bc,1.5  0.0a,9.8 0.13bc
13,F13,153.9  5.7b,0.4  0.1d,81.6  3.2ab,13.7  0.2bc,1.5  0.1,10.9  0.8a
14,F14,125.24.1e,0.7 0.0a,55.9  3.3e,13.4  0.3cd,0.6  0.0ef,7.1  0.2ef
15,F15,152.24.1bc,0.6  0.0b,76.13.1bc,13.7  0.2ef,0.8  0.0d,8.9  0.4d
16,F16,172.9  4.2a,0.50.1,86.4  3.4a,14.0  0.2a,1.30.1b,10.7  0.5a
17,F17,134.3  4.0d,0.70.1a,70.1 6.2cd,12.6  0.3efg,0.3  0.0g,7.0  0.1f
18,F18,172.8  3.4a,0.70.0a,86.1  4.7a,14.2  0.3a,0.8  0.0d,9.0  0.5cd
19,F19,175.9  4.9a,0.6  0.0b,88.7  4.2a,14.4  0.1a,1.20.1b,9.8  0.4bc
