,0,1,2,3,4,5,6
0,,Slovakia A,Italy B,Germany C,Netherlands D,Austria E,France F
1,Fat (% w/w),3.66,3.75,4.03,3.76,3.92,3.97
2,Protein (% w/w),3.39,3.48,3.53,3.30,3.43,3.46
3,Lactose (% w/w),4.67,4.70,4.76,4.75,4.79,4.74
4,Solids-non-fat (% w/w),8.81,8.93,9.04,8.80,8.97,8.95
5,fp (C),0.511,0.521,0.526,0.530,0.527,0.525
6,Urea (mg/100 mL),28,23,24,31,20,25
7,SSC (cells/mL),144 000,230 000,210 000,230 000,126 000,198 000
8,SPC (cells/mL),8000,903 000,71 000,258 000,91000,35 000
9,Inhibitors,Neg.,Neg.,Neg.,Neg.,Neg.,Neg.
