,0,1,2,3,4,5,6,7
0,Ratio,,SC-MD conjugates,SC-MD mixturesa,SC-P conjugates,SC-Pmixtures,SC-GA conjugates,SC-GA mixturesa
1,1:1,L*,61.170.22,90.330.08,77.750.76,80.490.47,53.980.06,83.220.07
2,,a*,10.86  0.23,0.56  0.02,3.87  0.24,0.85 0.08,10.010.02,2.260.12
3,,b*,31.710.52,9.370.05,21.110.22,14.290.14,29.440.06,13.900.03
4,1:2,L*,75.330.37,91.510.08,73.65  0.68,78.930.48,54.640.69,81.760.08
5,,a*,7.28  0.21,-0.530.02,5.26  0.20,0.970.07,9.36  0.24,3.060.05
6,,b*,29.000.12,7.220.10,21.450.29,14.520.20,25.280.16,14.420.12
7,2:1,L*,71.080.40,89.550.05,80.820.45,81.330.38,57.850.09,84.350.05
8,,a*,7.510.31,-0.500.09,2.980.13,0.680.06,9.620.03,1.690.01
9,,b*,32.06  0.22,10.24  0.02,19.410.34,14.66  0.21,29.59  0.10,13.970.03
