,0,1,2,3,4,5,6,7,8,9,10
0,,,,SC-CO injection rate,SC-CO injection rate,Water input,,,,,
1,,Feed (35 kg/h),Feed (35 kg/h),(wt.% dry feed basis,(wt.% dry feed basis,,,Pressure at SC-CO injection (psi/MPa,Pressure at SC-CO injection (psi/MPa,Pressure at SC-CO injection (psi/MPa,Extrudate
2,Sample,MPC,MPC-S,1.70,2.25,35,40,1600/11.03,2000/13.78,2400/16.54,expansion ratio
3,MI,x,,x,,x,,,,,4.80.13c
4,M2,x,,,,,x,,x,,5.0  0.18b
5,M3,,,x,,,x,x,,,4.4  0.12cd
6,M4,,,,,,,,,,4.8  0.11c
7,M5,,,,,,,,,x,4.1  0.12de
8,M6,,,,,,,,,,4.2  0.16d
9,S1,,,,,,,x,,,5.0  0.12b
10,S2,,x,x,,,x,,x,,5.10.11ab
11,S3,,x,,x,,x,,x,,4.8  0.09c
12,S4,,x,,x,,x,x,,,5.2  0.11a
