,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,Children,
1,,Percentiles,5%,50%,75%,95%,5%,50%,75%,95%
2,EDI,PCB 28,0.02,0.02,0.03,0.04,0.08,0.11,0.13,0.17
3,,PCB 52,0.06,0.09,0.10,0.13,0.27,0.40,0.48,0.59
4,,PCB 101,0.03,0.04,0.05,0.06,0.13,0.19,0.22,0.28
5,,PCB 138,0.08,0.11,0.13,0.17,0.36,0.52,0.62,0.76
6,,PCB 153,0.09,0.14,0.16,0.20,0.44,0.65,0.77,0.98
7,,PCB 180,0.56,0.81,0.98,1.25,2.55,3.86,4.55,5.70
8,,Total NDL-PCBs,0.83,1.23,1.44,1.80,3.78,5.75,6.83,8.76
9,ILCR,PCB 28,3.22E-8,4.91E-8,5.80E-8,7.43E-8,1.49E-7,2.28E-7,2.70E-7,3.47E-7
10,,PCB 52,1.12E-7,1.73E-7,2.08E-7,2.63E-7,5.08E-7,8.03E-7,9.57E-7,1.21E-6
11,,PCB 101,5.30E-8,8.34E-8,9.94E-8,1.26E-7,2.52E-7,3.85E-7,4.61E-7,6.11E-7
12,,PCB 138,1.45E-7,2.20E-7,2.61E-7,3.39E-7,6.70E-7,1.03E-6,1.25E6,1.61E-6
13,,PCB 153,1.78E-7,2.77E-7,3.31E-7,4.30E-7,8.57E-7,1.27E6,1.53E6,1.93E6
14,,PCB 180,1.07E-6,1.64E-6,1.96E-6,2.49E-6,4.83E-6,7.51E-6,9.10E-6,1.21E-5
15,,Total NDL-PCBs,1.56E-6,2.44E-6,2.88E-6,3.80E-6,7.26E-6,1.14E-5,1.35E-5,1.79E-5
