,0,1,2,3,4
0,,,Number,,
1,Origin,,of,Selection to,FT-IR
2,city,Product type,Isolates,RAPD-PCR,Identification
3,Istanbul,Commercial,2,KY-1,Pichia
4,,,,,pseudocactophila
5,Duzce,Traditional,2,KY-2,Kluyveromyces
6,,,,,marxianus
7,Giresun,Traditional,4,"KY-3,KY-4",Saccharomyces
8,,,,,cerevisiae
9,Istanbul,Traditional,4,KY-5,Kazachstania
10,,,,,unispora
11,Kocaeli,Traditional,2,KY-6,K.marxianus
12,Kirsehir,Traditional,4,"KY-7,KY-8,",S.cerevisiae
13,,,,KY-9,
14,Istanbul,Commercial,2,KY-10,K.marxianus
15,Siirt,Traditional,3,KY-11a,K.marxianusa
16,,,,KY-12b,S.cerevisiaeb
17,Tekirdag Traditional,Tekirdag Traditional,7,KY-13a,S. cerevisiaea
18,,,,KY-14b,Williopsis
19,,,,KY-15a,"californicab,"
20,,,,KY-16b,Saccharomyces
21,,,,"KY-17a,",pastorianusc
22,,,,KY-18c,
