,0,1,2,3
0,Patent No,Title,Inventor,Date
1,WO2001035760 A1,Bulk preparation of MFGMs,Ronald CGorewit,25 May 2001
2,WO2002062374 A2,Mucl isolation from bovine,"Davisco Foods International,Inc",15 August 2002
3,,milk and whey,,
4,EP2098122 A1,Proteose peptone fraction,Nestec SA,9 September 2009
5,WO 2013/157004 AI,Method for recovery of MFGM,"Vitaly Spitsberg,Adie Manniheim, Michael Zaltzman",18 April 2013
6,US 2010/0086657 A1,Method to separate lipids from,Srinivasan Damodaran,8 April 2010
7,,cheese whey and fat-free,,
8,,whey protein product formed,,
9,,thereby,,
10,US9700061,Milk ingredient enriched in,"Daniel Dalemans, et al.",11 July 2017
11,,polar lipids and uses thereof,,
