,0,1,2,3,4,5,6
0,,,,,,Corrected protein v,
1,,True protein,NCF,True protein,NCF,ia summation of amino,NCF(vs.sum
2,Product,15%TCA,(vs.15% TCA)b,(30% TCA)c,(vs.30% TCA)d,acids(factor 1.16,amino acidsy
3,Mineral acid WPC,82.8,6.22,Not measured,Not measured,80.0,6.02
4,Cheese WPC,75.5,6.38,78.6,6.3,77.5,6.14
5,Lactic WPC,79.9,6.17,79.9,6.2,77.2,5.98
6,Rennet WPC,72.9,6.59,75.4,6.4,75.2,6.17
7,SureStart -- whey,68.3,6.30,69.7,6.2,67.5,5.98
8,phospholipid protein,,,,,,
9,concentrate,,,,,,
10,WPI 895 specification,91.87,6.29,nds,ndg,90.7,6.30
11,SureProtein WPI 894,80.01,6.69,83.4,6.4,83.9,6.17
12,SureProtein WPC392,73.36,6.66,76.0,6.4,76.6,6.25
13,D90 whey powder (UK),11.06,6.51,11.6,6.2,11.3,5.76
