,0,1,2,3,4,5,6,7,8
0,,,,CN:,,Relative content%,Relative content%,,
1,tR,M+NH4,Formula,DB,TAGs identified,RM,PM,HM,FM
2,4.214,652.53,C3gH74NO6+,36:2,"BuMyO,BuPaPaBuLM,CoLaLCoMyPa,CoPaMy",0.610.04a0.580.01a0.600.040.560.03a,,,
3,,,,,"CyCaL,CyMyMy",,,,
4,4.401,614.52,C3HNO+,33:0,"BuCyHenBuCaN,BuLaMa,BuMPe,CyCaPe",0.280.010.260.040.270.010.260.01,,,
5,,,,,CyMaCyCaMaCoLaPeCo,,,,
6,4.469,678.54,C4H6NO+,38:3,"BuMD,BuPaL,BuLnP,CoLaD,CoMLn,CoLMy",0.490.010.480.010.460.000.490.04,,,
7,,,,,LaLnCy,,,,
8,4.674,640.53,C3gH74NO+,35:1,"BuLaNo,BuPePa,CoMPen,CoPeMy,CoNoCa",0.190.040.190.050.180.100.190.03,,,
9,4.708,704.54,C43H7gNO+,40:4,"BuLnO,BuLL",0.310.010.300.010.280.020.270.03,,,
10,4.929,666.53,C4oH76NO+,37:2,BuPeL,0.160.030.150.050.150.030.150.01,,,
11,4.963,654.53,C3gH76NO+,36:1,"CoCaPl,CoLaO,CoMyP,CoMPa,CyCaO,CyLaPa",2.690.102.770.202.720.152.870.11,,,
12,,,,,"CyMyM,CaLaMy,CaPaCa,MOBu",,,,
13,5.202,680.54,C4H7gNO6+,38:2,"BuMyPl,BuPaO,BuLP,CoMyO,CoML,CoPaPa",1.770.101.710.051.740.131.730.06,,,
14,,,,,"CyLaL,CyMyPaCaMyMy,CaLCa",,,,
15,5.509,706.64,C43H;oNO6+,40:3,"BuLnS.BuLO,CoMD.CoPaLCoLnP.CyLaD",0.990.020.930.010.960.020.960.01,,,
16,,,,,"CyLnM,CyLMyCaLaLn",,,,
17,5.611,668.63,C4oH7gNO+,37:1,"BuPeO,BuPaMa,CoPePaCyPeMy",0.880.040.840.040.750.030.850.05,,,
18,5.781,732.65,C45H82NO+,42:4,"CoLnO,CoLL",0.170.050.160.030.150.040.140.01,,,
19,5.986,694.64,C42HgoNO6+,39:2,"BuMaL,BuNoPaCoPeL,CoOPenCoNoMy",0.230.020.200.040.210.020.200.04,,,
20,6.020,656.63,C3gH7gNO+,36:0,"BuCyLg,BuCaBehBuLaAr,BuMS,BuPeMa,BuPP",4.390.304.540.164.390.114.790.39,,,
21,,,,,"CoCyBeh, CoCaAr, CoLaS, CoMP, CoPePe,",,,,
22,,,,,"CyCaS,CyLaP,CyMM.CaLaM.CaPCa",,,,
23,6.156,682.64,C4HsoNO6+,38:1,"CoLaPl,CoMyS,CoMO,CoPaP,CyCaPl,CyLaO",4.60  0.23a4.68  0.15a4.56  0.18a4.90  0.28a,,,
24,,,,,"CyMyP,CyMPa,CaLaPa,CaMyM,CaOCa",,,,
25,,,,,LaMyLa,,,,
26,6.446,708.64,C43H2NO+,40:2,"CoMyPl, CoPaO,CoLP,CyMyO,CyPaPa, CyLM,",2.44 0.202.38 0.03a2.39 0.20a2.440.19a,,,
27,,,,,"CaLaL,CaMyPa,LaMyMy",,,,
28,6.736,670.63,C4oHgoNO++,37:0,"CoCyT,CoCaHenCoLaN,CoPePCyCaN,CyLaMa",0.950.040.890.020.930.010.850.02,,,
29,,,,,"CyMPe,CaLaPe,CaMaCaMMaCo,PMaBu",,,,
30,6.770,734.65,C45H4NO+,42:3,"CoLnS,CoLO,CoDP,LnMCa,DMCy",0.480.050.460.040.480.030.460.05,,,
