,0,1,2,3,4,5,6,7
0,,Whey butter,,,,Milk butter,,
1,"Fatty acids(%, w/w)",WB1,WB2,WB3,WB4,MB1,MB2,Reference*
2,Butyric,3.10 0.06,3.070.01,3.03  0.09,3.110.01,3.050.15,2.950.07,1.83-4.002
3,Caproic,1.290.04,1.29  0.02,1.350.02,1.350.01,1.29 0.07,1.270.01,1.18-3.002
4,Caprylic,0.880.02,0.90  0.01a,1.00  0.01b,0.98  0.02b,0.91  0.04a,0.910.01,0.502-1.702
5,Capric,2.170.05,2.19  0.02a,2.63  0.01b,2.560.05b,2.22  0.09a,2.27 0.01a,1.702-3.202
6,Lauric,2.88 0.05abc,3.01  0.00d,2.83 0.00ab,2.77  0.05a,2.89  0.08bc,2.96  0.00cd,2.202-4.502
7,Myristic,10.740.18bc,11.18 0.09d,10.54 0.01ab,10.450.01,10.94  0.16cd,11.070.01d,5.402-14.602
8,Myristoleic,1.02  0.04b,1.19  0.01d,0.96  0.00ab,0.960.04a,1.12  0.01c,1.100.01,0.602-1.602
9,Pentadecanoic,1.06  0.02a,1.05  0.01a,1.07 0.00a,1.06  0.00a,1.16  0.00b,1.15  0.00b,0.903-1.891
10,Palmitic,31.92  0.16b,32.40  0.02c,31.54  0.09a,31.61  0.02a,31.86  0.10b,31.99  0.00b,22.273-41.002
11,Palmitoleic,1.830.00bc,1.94  0.00d,1.750.00ab,1.730.00a,1.86  0.02cd,1.88 0.01cd,0.81-5.702
12,Heptadecanoic,0.610.01,0.600.00,0.62 0.00,0.620.00,0.630.01,0.64  0.00,0.413-1.082
13,Stearic,10.840.02,10.01  0.01a,11.38  0.02d,11.42 0.01,10.750.03bc,10.700.01b,6.102-11.202
14,Oleic,26.180.11,25.63  0.04a,25.94  0.08b,25.930.13b,25.80  0.10ab,25.59  0.09a,12.013-33.402
15,Linoleic,2.250.06,2.210.10,2.240.06,2.260.03,2.250.01,2.220.03,0.902-3.702
16,Linolenic,0.170.00,0.210.00,0.17 0.00,0.190.00,0.200.02,0.180.05,0.053-1.032
17,Arachidic,0.950.01bc,1.03  0.00d,0.930.01ab,0.90  0.03a,0.98  0.01c,0.92  0.01ab,0.103-0.431
18,Total saturated,66.43  0.30,66.73  0.16,66.920.03,66.83  0.12,66.67  0.47,66.83  0.09,56.56468.224
19,Total unsaturated,31.460.12,31.190.14,31.060.02,31.080.15,31.230.11,30.960.07,31.79442.954
