,0,1,2,3,4,5
0,Treatments,L*,a*,b*,,4E
1,Mixes,,,,,
2,0.0% (control,84.57  0.09a,-0.42 0.02a,19.92 0.00a,0.00,
3,0.5%,84.17  0.05b,-0.49  0.01b,19.61  0.00a,1.09  0.07a,1.09  0.07a
4,1.0%,83.19  0.04c,0.76 0.02,16.45  0.05a,3.92  0.05b,3.92  0.05b
5,2.0%,82.59  0.01d,0.85  0.02d,16.22  0.04b,4.370.02c,4.370.02c
6,Ice cream,,,,,
7,0.0% (control,84.37  0.02a,0.39  0.02a,19.32  0.02a,0.00,
8,0.5%,84.55  0.37a,0.370.03a,17.48  0.07b,2.01  0.04c,2.01  0.04c
9,1.0%,83.73 0.07c,-0.61  0.03b,16.31  0.02c,3.22  0.12b,3.22  0.12b
10,2.0%,82.94  0.06c,0.70  0.00c,16.12  0.00c,3.63  0.03a,3.63  0.03a
