,0,1,2,3,4,5,6
0,,Storage days,Storage days,,,,
1,,1,,7,,14,21
2,Hardness (g),,,,,,
3,SF,,248.25  5.30a,,250.00  24.04a,326.50  14.85bx,
4,SD,,238.5045.69,,225.75 20.86,205.00  2.83,
5,BF,,231.251.77a,,237.00  4.24ab,247.50  3.54bZT,272.50  7.07cYZ
6,BD,,218.25  13.79,,251.00 7.78,228.75  16.62YZ,264.50  13.44
7,BSF,,225.50  9.90,,262.0016.26,,
8,BSD,,236.50  10.61a,,250.25  1.06a,279.50  4.95bZ,295.25  8.13bT
9,Viscosity (mPas),,,,,,
10,SF,2317.00  59.35aX,2317.00  59.35aX,,2136.67  39.11bx,1777.33  50.50cX,1448.67  24.01dx
11,SD,,1809.67  20.23aY,,1393.00  33.05bY,1367.00  27.07bY,1012.67  57.87cY
12,BF,1335.00  37.40aZ,1335.00  37.40aZ,1246.67  15.2gbz,1246.67  15.2gbz,1076.67  59.79cz,975.67  51.16dY
13,BD,,1547.00  38.43aT,1289.00  8.72bz,1289.00  8.72bz,1041.00  23.52cZ,979.00 28.58dY
14,BSF,1951.67  22.37aw,1951.67  22.37aw,1562.00  49.39bT,1562.00  49.39bT,1359.33  43.02cY,1128.00  70.68dz
15,BSD,2305.67  63.26ax,2305.67  63.26ax,,1709.00  67.95bw,1455.33  14.64cT,1113.00  48.54dz
