,0,1,2
0,Parameter,,Value
1,Ash (% w/w),0.480.23,0.480.23
2,Moisture(% w/w,83.030.23,83.030.23
3,Fat% w/w,0.560.06,0.560.06
4,Sugars,,
5,Fructose (g/100 g),6.14,
6,Galactose (g/100 g,ND<0.20,ND<0.20
7,Glucose (g/100 g),1.71,
8,Lactose (g/100 g,1.36,
9,Sucrose (g/100 g),ND<0.20,ND<0.20
10,Protein (% w/w),3.410.07,3.410.07
11,Calories (Kcal in 140 mL,77 kcal,
12,Coliforms at 35 and 45 C(MPN/mL,<1 log,
13,Salmonella sp.,Absence in 25 g,Absence in 25 g
14,Bifidobacterium animalis subsp,9.25,
15,lactis (BB12(log cfu/mL),,
