,0,1,2,3,4,5
0,,,,,Ripening period (days),
1,Parameters,Cultures,0,14,21,28
2,Dry extract (g/100 g),T,46.2  0.28,48.0cB0.3,50.8aB0.3,50.0bB0.5
3,,0,49.5cB0.10,50.8bA0.05,50.8bB0.9,55.0A0.4
4,,LD,54.9aA0.38,51.1bA0.5,55.1A0.9,54.5abA 3.4
5,pH,T,5.51A0.03,5.5cA0.1,5.9aA0.1,5.79bA 0.08
6,,0,4.61bC0.01,4.7abB0.1,4.793abc0.005,4.9ac  0.1
7,,LD,5.31cB0.02,5.46bA0.02,5.51aB0.02,5.54aB0.01
8,Lactic acid (g/100 g),T,0.696aC  0.001,0.200bc  0.001,0.1305dC  0.0008,0.151cC0.001
9,,0,0.723dB  0.007,1.47aA0.01,1.202bA  0.002,0.88cA0.03
10,,LD,0.772aA  0.001,0.697bB  0.004,0.703bB0.002,0.435cB 0.001
11,Lactose (g/100 g,T,2.37aA0.02,0.525bA 0.001,0.197cA 0.001,0.106dA0.001
12,,0,1.43aB0.03,0.105bC0.002,0.04cB,0.04cB
13,,LD,1.124aC0.003,0.194bB 0.002,0.04cB,0.04cB
14,Proteins (g/100 g),T,22.0AB0.9,20.5A0.9,20.8B0.7,21.0 3.0
15,,0,22.0aA  1.8,20.0bAB 0.2,21.gabB0.2,21.5ab  0.4
16,,LD,19.0bB1.3,19.0bB0.2,23.7aA0.3,23.0a 1.1
17,Tyrosine (mg/100 g),T,6.0cC2.14,80.0bA  2.4,65.0cB9.5,139.0aA  9.2
18,,0,14.0cB 2.18,75.0bA7.8,89.0aA 3.0,76.0bB 6.6
19,,LD,35.0bA4.02,41.0bB7.8,71.0aB2.4,64.0aB8.5
20,Water activity (aw,T,0.976 0.004,0.974aA  0.002,0.962 bB  0.002,0.962bB  0.000
21,,0,0.9740.004,0.972aBA 0.002,0.9696aA0.0005,0.963bB0.001
22,,LD,"0.973a0,002",0.96866bB  0.0005,0.9680bcA 0.001,0.965cA0.000
23,Lipid (g/100 g),T,21.6b0.57,22.3b0.5,23.0bB1,26.0a  2.6
24,,0,20.0b  1.32,25.03.50,25.0aAB 3.0,26.0a  1.5
25,,LD,21.5b0.50,27.0a 2.0,27.6aA0.5,28.0 1.5
26,Whiteness index,T,83.9cC  0.1,89.4aB  1.6,88.4abB0.8,87.0bB  1.2
27,,0,84.47bB  0.06,90.5aAB  0.2,90.24aA  0.02,90.3aA  0.2
28,,LD,84.93dA  0.05,91.7aA  0.4,90.6bA  0.2,89.2cA  0.9
29,Hue,T,84.9dA0.1,87.3aB0.2,86.2 bC  0.08,85.87cB  0.02
30,,0,83.0cA2.1,89.0abA0.1,90.21A0.02,87.84bA0.01
31,,LD,85.45A0.05,86.8bC0.1,87.37aB0.01,85.67cC0.03
32,Croma,T,11.94cB0.09,16.23bB0.04,18.82aB 0.06,18.82aB 0.03
33,,0,12.32bA0.01,18.0aAB2.3,14.42bc  0.06,17.96aC  0.01
34,,LD,12.36dA  0.01,20.6bA0.2,20.15cA  0.05,21.17aA  0.01
35,Sodium chloride (g/100 g,T,1.33cB0.01,2.43bA0.03,2.78aA0.04,2.75aA 0.02
36,,0,1.70cA0.01,1.79bB 0.01,1.75bcC0.07,1.92ac  0.01
37,,LD,1.67cA  0.06,1.7bcB0.1,1.87bB0.05,2.22aB  0.12
38,Ashe (g/100 g),T,3.74cC0.05,4.86bA0.04,5.26A0.05,5.30A0.07
39,,0,3.25cBC0.03,4.1abB0.1,3.8bB0.4,4.5aB0.2
40,,LD,4.0bA0.54,4.2abB0.1,4.33abB 0.09,4.61aB0.08
